,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
2265,ZBTB26,1,1,57,1.8%,"No
"
2266,SLCO1B3,1,1,57,1.8%,"No
"
2267,VAT1L,1,1,57,1.8%,"No
"
2268,ZNF445,2,1,57,1.8%,"No
"
2269,SEPHS1,1,1,57,1.8%,"No
"
2270,TMEM102,1,1,57,1.8%,"No
"
2271,DKK1,2,1,57,1.8%,"Yes
"
2272,ALS2CL,1,1,57,1.8%,"No
"
2273,ABRA,1,1,57,1.8%,"No
"
2274,PLXNA4,3,1,57,1.8%,"No
"
2275,MS4A15,2,2,57,3.5%,"No
"
2276,PTGR1,1,1,57,1.8%,"No
"
2277,DEUP1,1,1,57,1.8%,"No
"
2278,PTPN3,1,1,57,1.8%,"No
"
2279,MAGEE1,2,2,57,3.5%,"No
"
2280,ZNF317,1,1,57,1.8%,"No
"
2281,ANKAR,3,3,57,5.3%,"No
"
2282,DCAF4L1,1,1,57,1.8%,"No
"
2283,USP47,1,1,57,1.8%,"No
"
2284,TNRC6C,1,1,57,1.8%,"No
"
2285,ACOT2,1,1,57,1.8%,"No
"
2286,TMPRSS11F,1,1,57,1.8%,"No
"
2287,HLA-C,1,1,57,1.8%,"Yes
"
2288,HLA-B,1,1,57,1.8%,"Yes
"
2289,GRXCR1,2,2,57,3.5%,"No
"
2290,USP37,1,1,57,1.8%,"No
"
2291,DDX55,2,1,57,1.8%,"No
"
2292,FANCM,5,3,57,5.3%,"No
"
2293,ATP5F1B,1,1,57,1.8%,"No
"
2294,MSH4,1,1,57,1.8%,"No
"
2295,PTPN11,1,1,57,1.8%,"Yes
"
2296,PTPN12,2,1,57,1.8%,"No
"
2297,PTPN13,1,1,57,1.8%,"Yes
"
2298,DDX31,1,1,57,1.8%,"No
"
2299,RNF145,1,1,57,1.8%,"No
"
2300,HLA-DRA,1,1,57,1.8%,"No
"
2301,SLC35A3,1,1,57,1.8%,"No
"
2302,ARHGEF25,3,3,57,5.3%,"No
"
2303,ZNF485,1,1,57,1.8%,"No
"
2304,SLC44A1,2,2,57,3.5%,"No
"
2305,ARFRP1,1,1,57,1.8%,"Yes
"
2306,HLA-DQA1,1,1,57,1.8%,"No
"
2307,NLRP5,1,1,57,1.8%,"No
"
2308,HLA-DPA1,1,1,57,1.8%,"No
"
2309,SUCLG1,1,1,57,1.8%,"No
"
2310,EHMT1,1,1,57,1.8%,"No
"
2311,PTPN6,1,1,57,1.8%,"Yes
"
2312,DDX4,3,1,57,1.8%,"Yes
"
2313,RBM12,1,1,57,1.8%,"No
"
2314,PTPRF,1,1,57,1.8%,"No
"
2315,PTPRG,1,1,57,1.8%,"No
"
2316,BPIFA3,1,1,57,1.8%,"No
"
2317,INPP4B,1,1,57,1.8%,"Yes
"
2318,PTPRK,1,1,57,1.8%,"Yes
"
2319,HLF,1,1,57,1.8%,"Yes
"
2320,CTDSPL2,1,1,57,1.8%,"No
"
2321,WDR44,1,1,57,1.8%,"No
"
2322,TEX2,1,1,57,1.8%,"No
"
2323,SF3B1,1,1,57,1.8%,"Yes
"
2324,CCDC93,2,1,57,1.8%,"No
"
2325,PTPRB,2,2,57,3.5%,"Yes
"
2326,AKAP9,1,1,57,1.8%,"No
"
2327,HHIPL2,1,1,57,1.8%,"No
"
2328,ATP6V1C1,1,1,57,1.8%,"No
"
2329,PTPRD,2,2,57,3.5%,"Yes
"
2330,GSTCD,1,1,57,1.8%,"No
"
2331,ADGRG2,1,1,57,1.8%,"No
"
2332,DCAF5,1,1,57,1.8%,"No
"
2333,PWWP2B,1,1,57,1.8%,"No
"
2334,SYNGAP1,1,1,57,1.8%,"No
"
2335,CD84,1,1,57,1.8%,"No
"
2336,ASXL3,2,2,57,3.5%,"No
"
2337,C11ORF65,1,1,57,1.8%,"No
"
2338,DBNDD2,1,1,57,1.8%,"No
"
2339,ENAM,1,1,57,1.8%,"No
"
2340,ACTR10,1,1,57,1.8%,"No
"
2341,ZMYM1,1,1,57,1.8%,"No
"
2342,DDHD1,1,1,57,1.8%,"No
"
2343,EEPD1,1,1,57,1.8%,"No
"
2344,USP53,1,1,57,1.8%,"No
"
2345,PEAK1,2,2,57,3.5%,"No
"
2346,PTPRM,3,3,57,5.3%,"No
"
2347,SGK2,1,1,57,1.8%,"No
"
2348,ROBO4,1,1,57,1.8%,"No
"
2349,HDAC8,1,1,57,1.8%,"No
"
2350,LONRF3,1,1,57,1.8%,"No
"
2351,ATP6AP1,1,1,57,1.8%,"Yes
"
2352,LIN7A,1,1,57,1.8%,"No
"
2353,ATP7A,1,1,57,1.8%,"No
"
2354,KIF20A,1,1,57,1.8%,"No
"
2355,EXOC6,2,2,57,3.5%,"No
"
2356,CCDC102B,2,1,57,1.8%,"No
"
2357,IQGAP1,1,1,57,1.8%,"No
"
2358,FEM1B,1,1,57,1.8%,"No
"
2359,MST1,2,2,57,3.5%,"Yes
"
2360,XPNPEP2,1,1,57,1.8%,"No
"
