,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
3034,PLXNA2,1,1,41,2.4%,"No
"
3035,PLXNB3,3,3,41,7.3%,"No
"
3036,SEMA3E,1,1,41,2.4%,"No
"
3037,LRP2,3,3,41,7.3%,"No
"
3038,GPRIN2,1,1,41,2.4%,"No
"
3039,CALHM2,2,1,41,2.4%,"No
"
3040,OR6C74,1,1,41,2.4%,"No
"
3041,DCAF1,1,1,41,2.4%,"No
"
3042,LSAMP,1,1,41,2.4%,"No
"
3043,HDAC9,1,1,41,2.4%,"No
"
3044,CEP104,2,2,41,4.9%,"No
"
3045,NOSIP,1,1,41,2.4%,"No
"
3046,RIPK4,1,1,41,2.4%,"No
"
3047,DTX3L,2,2,41,4.9%,"No
"
3048,ADARB2,2,2,41,4.9%,"No
"
3049,ADCY2,3,3,41,7.3%,"No
"
3050,ADCY3,1,1,41,2.4%,"No
"
3051,ARFGEF1,1,1,41,2.4%,"No
"
3052,SECISBP2L,1,1,41,2.4%,"No
"
3053,OR13C9,1,1,41,2.4%,"No
"
3054,CYP4F3,1,1,41,2.4%,"No
"
3055,LTBP2,1,1,41,2.4%,"No
"
3056,CNTNAP5,3,3,41,7.3%,"No
"
3057,TASOR2,1,1,41,2.4%,"No
"
3058,ZNF536,1,1,41,2.4%,"No
"
3059,BCAR3,1,1,41,2.4%,"No
"
3060,PADI1,1,1,41,2.4%,"No
"
3061,THOC2,1,1,41,2.4%,"No
"
3062,PSG8,1,1,41,2.4%,"No
"
3063,TARM1,1,1,41,2.4%,"No
"
3064,OSGIN1,1,1,41,2.4%,"No
"
3065,ANKRD50,2,2,41,4.9%,"No
"
3066,SYTL5,1,1,41,2.4%,"No
"
3067,DNMT3L,1,1,41,2.4%,"No
"
3068,LTB,3,3,41,7.3%,"Yes
"
3069,PKN3,1,1,41,2.4%,"No
"
3070,IL22RA2,1,1,41,2.4%,"No
"
3071,ADCYAP1R1,2,1,41,2.4%,"No
"
3072,GPRASP1,1,1,41,2.4%,"No
"
3073,KATNAL2,1,1,41,2.4%,"No
"
3074,CCP110,1,1,41,2.4%,"No
"
3075,SPOP,1,1,41,2.4%,"Yes
"
3076,SETD1A,1,1,41,2.4%,"Yes
"
3077,LY9,1,1,41,2.4%,"No
"
3078,PCDHA9,1,1,41,2.4%,"No
"
3079,VN1R1,1,1,41,2.4%,"No
"
3080,LYN,2,2,41,4.9%,"Yes
"
3081,SH2D1A,1,1,41,2.4%,"Yes
"
3082,TDRD5,1,1,41,2.4%,"No
"
3083,POMT2,2,2,41,4.9%,"No
"
3084,MCOLN1,1,1,41,2.4%,"No
"
3085,ATP10A,1,1,41,2.4%,"No
"
3086,RASIP1,2,2,41,4.9%,"No
"
3087,UBE2R2,1,1,41,2.4%,"No
"
3088,ZSCAN32,1,1,41,2.4%,"No
"
3089,TOX,1,1,41,2.4%,"No
"
3090,NBR1,1,1,41,2.4%,"No
"
3091,ABCA13,2,2,41,4.9%,"No
"
3092,CAVIN2,2,2,41,4.9%,"No
"
3093,ADGRA3,2,2,41,4.9%,"No
"
3094,ADK,1,1,41,2.4%,"No
"
3095,ADORA1,1,1,41,2.4%,"No
"
3096,MIB2,1,1,41,2.4%,"No
"
3097,FRMPD4,1,1,41,2.4%,"No
"
3098,SOHLH2,1,1,41,2.4%,"No
"
3099,RNF123,1,1,41,2.4%,"No
"
3100,TMSB4X,8,7,41,17.1%,"No
"
3101,TCERG1L,1,1,41,2.4%,"No
"
3102,PCDHB1,1,1,41,2.4%,"No
"
3103,DPYS,1,1,41,2.4%,"No
"
3104,ASB12,1,1,41,2.4%,"No
"
3105,DPYD,2,2,41,4.9%,"No
"
3106,RASAL1,1,1,41,2.4%,"No
"
3107,SDHAF2,1,1,41,2.4%,"Yes
"
3108,LPCAT2,1,1,41,2.4%,"No
"
3109,EPPK1,1,1,41,2.4%,"No
"
3110,GPR171,1,1,41,2.4%,"No
"
3111,CUL1,1,1,41,2.4%,"No
"
3112,DHX38,1,1,41,2.4%,"No
"
3113,CUL4A,1,1,41,2.4%,"Yes
"
3114,MTSS1,1,1,41,2.4%,"No
"
3115,TNF,1,1,41,2.4%,"No
"
3116,TNFAIP2,1,1,41,2.4%,"No
"
3117,OPLAH,1,1,41,2.4%,"No
"
3118,SMAD5,1,1,41,2.4%,"No
"
3119,PIEZO1,1,1,41,2.4%,"No
"
3120,ADRA2B,1,1,41,2.4%,"No
"
3121,SMAD7,1,1,41,2.4%,"No
"
3122,EEF2K,1,1,41,2.4%,"No
"
3123,RHOXF2B,1,1,41,2.4%,"No
"
3124,SMAD9,1,1,41,2.4%,"No
"
3125,MAF,1,1,41,2.4%,"Yes
"
3126,SLC26A3,1,1,41,2.4%,"No
"
