,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
16980,KLRF1,18,14,517,2.7%,"No
"
16981,TAOK3,33,25,517,4.8%,"No
"
16982,TRIM41,25,20,517,3.9%,"No
"
16983,ANTKMT,2,2,517,0.4%,"No
"
16984,HSD11B1L,5,5,517,1.0%,"No
"
16985,DDRGK1,13,12,517,2.3%,"No
"
16986,FUNDC2,8,7,517,1.4%,"No
"
16987,SPANXC,5,5,517,1.0%,"No
"
16988,MRPS34,1,1,517,0.2%,"No
"
16989,PEAK3,7,7,517,1.4%,"No
"
16990,IGKV2-28,10,10,517,1.9%,"No
"
16991,RASL11B,6,6,517,1.2%,"No
"
16992,LRRC61,8,8,517,1.5%,"No
"
16993,ZNF699,31,26,517,5.0%,"No
"
16994,IGKV2-24,7,7,517,1.4%,"No
"
16995,TEX45,12,12,517,2.3%,"No
"
16996,ZNF117,34,27,517,5.2%,"No
"
16997,KRT76,30,21,517,4.1%,"No
"
16998,GLB1L2,43,32,517,6.2%,"No
"
16999,RHOT2,12,11,517,2.1%,"No
"
17000,ACVR1C,29,19,517,3.7%,"No
"
17001,KBTBD12,31,24,517,4.6%,"No
"
17002,PRSS35,32,26,517,5.0%,"No
"
17003,DNTTIP1,12,11,517,2.1%,"No
"
17004,DIRC1,9,9,517,1.7%,"No
"
17005,SBSN,34,23,517,4.4%,"No
"
17006,PRICKLE2,32,24,517,4.6%,"No
"
17007,C1ORF131,14,12,517,2.3%,"No
"
17008,ZNF829,33,25,517,4.8%,"No
"
17009,SLC22A12,23,17,517,3.3%,"No
"
17010,LINC01600,3,3,517,0.6%,"No
"
17011,HIPK1,58,41,517,7.9%,"No
"
17012,MAP3K14-AS1,1,1,517,0.2%,"No
"
17013,BATF2,2,2,517,0.4%,"No
"
17014,LCA5,42,30,517,5.8%,"No
"
17015,INTS6L,79,47,517,9.1%,"No
"
17016,ZNF449,38,29,517,5.6%,"No
"
17017,LRRC58,10,9,517,1.7%,"No
"
17018,LYSMD3,11,9,517,1.7%,"No
"
17019,C2ORF76,8,7,517,1.4%,"No
"
17020,MUC15,34,29,517,5.6%,"No
"
17021,HSPB8,11,11,517,2.1%,"No
"
17022,FAM162A,10,10,517,1.9%,"No
"
17023,GNL3,30,26,517,5.0%,"No
"
17024,MYO3A,181,73,517,14.1%,"No
"
17025,DUOX1,68,41,517,7.9%,"No
"
17026,SGPP2,16,14,517,2.7%,"No
"
17027,CFAP206,46,31,517,6.0%,"No
"
17028,VMA21,9,9,517,1.7%,"No
"
17029,FREY1,6,6,517,1.2%,"No
"
17030,PELO,10,10,517,1.9%,"No
"
17031,SLCO1C1,32,26,517,5.0%,"No
"
17032,SMLR1,1,1,517,0.2%,"No
"
17033,RAB4B,5,5,517,1.0%,"No
"
17034,RAB24,18,17,517,3.3%,"No
"
17035,MRPL13,3,3,517,0.6%,"No
"
17036,KLF15,14,14,517,2.7%,"No
"
17037,HIPK2,45,33,517,6.4%,"No
"
17038,OR5K1,26,22,517,4.3%,"No
"
17039,OR5L2,21,17,517,3.3%,"No
"
