,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
9606,SCARF1,5,4,534,0.7%,"No
"
9607,TSC1,21,18,534,3.4%,"Yes
"
9608,STK16,6,6,534,1.1%,"No
"
9609,TSN,4,4,534,0.7%,"No
"
9610,TMEFF1,14,11,534,2.1%,"No
"
9611,AMPD1,27,20,534,3.7%,"No
"
9612,AMPD2,18,13,534,2.4%,"No
"
9613,KHSRP,16,16,534,3.0%,"No
"
9614,AMPD3,18,14,534,2.6%,"No
"
9615,AMPH,27,24,534,4.5%,"No
"
9616,BIN1,6,6,534,1.1%,"No
"
9617,AMT,2,2,534,0.4%,"No
"
9618,CEP20,3,3,534,0.6%,"No
"
9619,AMY1A,1,1,534,0.2%,"No
"
9620,AMY1B,1,1,534,0.2%,"No
"
9621,AMY1C,5,5,534,0.9%,"No
"
9622,AMY2A,23,18,534,3.4%,"No
"
9623,MKNK1,3,3,534,0.6%,"Yes
"
9624,TSHR,15,14,534,2.6%,"Yes
"
9625,TSHB,4,3,534,0.6%,"No
"
9626,TSNAX,2,2,534,0.4%,"No
"
9627,TSPYL1,4,3,534,0.6%,"No
"
9628,AMY2B,14,13,534,2.4%,"No
"
9629,LY6D,1,1,534,0.2%,"No
"
9630,ANG,1,1,534,0.2%,"No
"
9631,ANGPT1,6,6,534,1.1%,"No
"
9632,TSG101,5,5,534,0.9%,"No
"
9633,ANGPT2,14,14,534,2.6%,"No
"
9634,ANK1,44,35,534,6.6%,"No
"
9635,ANK2,104,64,534,12.0%,"No
"
9636,ANK3,91,59,534,11.0%,"No
"
9637,TSC2,19,17,534,3.2%,"Yes
"
9638,NTAN1,10,10,534,1.9%,"No
"
9639,GFUS,2,2,534,0.4%,"No
"
9640,TST,4,4,534,0.7%,"No
"
9641,DNAJC7,10,9,534,1.7%,"No
"
9642,TTC1,1,1,534,0.2%,"No
"
9643,TTC4,4,3,534,0.6%,"No
"
9644,TTC3,42,21,534,3.9%,"No
"
9645,ANPEP,18,14,534,2.6%,"No
"
9646,SLC25A4,6,6,534,1.1%,"No
"
9647,SLC25A5,6,6,534,1.1%,"No
"
9648,SLC25A6,6,6,534,1.1%,"No
"
9649,EIPR1,4,4,534,0.7%,"No
"
9650,PHLDA2,1,1,534,0.2%,"No
"
9651,OR6A2,4,4,534,0.7%,"No
"
9652,TUB,21,18,534,3.4%,"No
"
9653,TTPA,4,4,534,0.7%,"No
"
9654,TUBA4A,10,10,534,1.9%,"No
"
9655,TTR,3,3,534,0.6%,"No
"
9656,TUBA3C,22,22,534,4.1%,"No
"
9657,TTF1,17,15,534,2.8%,"No
"
9658,SERHL2,3,3,534,0.6%,"No
"
9659,TTN,864,257,534,48.1%,"No
"
9660,TTK,26,21,534,3.9%,"No
"
9661,TUFT1,6,6,534,1.1%,"No
"
9662,TULP2,9,9,534,1.7%,"No
"
9663,TULP1,10,9,534,1.7%,"No
"
9664,L3MBTL4,16,15,534,2.8%,"No
"
9665,TULP3,5,5,534,0.9%,"No
"
9666,UBLCP1,8,8,534,1.5%,"No
"
9667,SLC25A46,8,6,534,1.1%,"No
"
9668,TUBB2A,9,9,534,1.7%,"No
"
9669,GJB7,5,3,534,0.6%,"No
"
9670,TUFM,8,8,534,1.5%,"No
"
9671,TUBG1,2,2,534,0.4%,"No
"
9672,C14ORF28,7,7,534,1.3%,"No
"
9673,TYK2,14,13,534,2.4%,"Yes
"
9674,TXNRD1,16,15,534,2.8%,"No
"
9675,TYR,14,14,534,2.6%,"No
"
9676,TYMS,7,7,534,1.3%,"No
"
9677,ACOT12,16,13,534,2.4%,"No
"
9678,TWIST1,7,7,534,1.3%,"No
"
9679,HIRA,23,22,534,4.1%,"Yes
"
9680,TNFRSF4,1,1,534,0.2%,"No
"
9681,TNFSF4,8,7,534,1.3%,"No
"
9682,ZNF682,9,8,534,1.5%,"No
"
9683,TXN,1,1,534,0.2%,"No
"
9684,TXK,13,12,534,2.2%,"No
"
9685,KRTAP26-1,3,3,534,0.6%,"No
"
9686,ZNF563,12,9,534,1.7%,"No
"
9687,IGFN1,12,12,534,2.2%,"No
"
9688,CBLL2,10,9,534,1.7%,"No
"
9689,RPS10-NUDT3,3,3,534,0.6%,"No
"
9690,LDHAL6B,11,10,534,1.9%,"No
"
9691,TIGD7,15,11,534,2.1%,"No
"
9692,SPC24,1,1,534,0.2%,"No
"
9693,SOWAHA,2,2,534,0.4%,"No
"
9694,TMEM67,15,11,534,2.1%,"No
"
9695,SHROOM1,5,4,534,0.7%,"No
"
9696,NOMO3,4,4,534,0.7%,"No
"
9697,GPR153,6,6,534,1.1%,"No
"
9698,SCARF2,7,6,534,1.1%,"No
"
9699,ZNF559-ZNF177,5,5,534,0.9%,"No
"
9700,TMEM256-PLSCR3,6,6,534,1.1%,"No
"
9701,LRIG3,22,17,534,3.2%,"Yes
"
9702,PEDS1-UBE2V1,10,9,534,1.7%,"No
"
9703,TRAPPC6B,1,1,534,0.2%,"No
"
9704,SDR9C7,7,7,534,1.3%,"No
"
9705,ACSM2A,16,14,534,2.6%,"No
"
9706,LRRC75B,7,6,534,1.1%,"No
"
9707,DNAAF1,11,11,534,2.1%,"No
"
9708,ZNF784,1,1,534,0.2%,"No
"
9709,DCUN1D3,4,4,534,0.7%,"No
"
9710,ZNF524,10,8,534,1.5%,"No
"
9711,VWC2,2,2,534,0.4%,"No
"
9712,SLC25A35,4,4,534,0.7%,"No
"
9713,NUP210L,36,26,534,4.9%,"No
"
9714,MRPL11,1,1,534,0.2%,"No
"
9715,CCDC63,10,10,534,1.9%,"No
"
9716,GCNA,16,16,534,3.0%,"No
"
9717,MRPL9,5,4,534,0.7%,"No
"
9718,MYO18A,34,29,534,5.4%,"Yes
"
9719,MRPL1,10,8,534,1.5%,"No
"
9720,ANKDD1A,3,3,534,0.6%,"No
"
9721,NDRG4,4,4,534,0.7%,"No
"
9722,PPTC7,7,7,534,1.3%,"No
"
9723,SCYL2,15,14,534,2.6%,"No
"
9724,RUFY2,6,6,534,1.1%,"No
"
9725,RBPMS2,2,2,534,0.4%,"No
"
9726,USB1,4,4,534,0.7%,"No
"
9727,TMEM204,1,1,534,0.2%,"No
"
9728,RABL6,10,10,534,1.9%,"No
"
9729,RHBDF2,14,13,534,2.4%,"No
"
9730,KANSL3,16,16,534,3.0%,"No
"
9731,HECTD3,9,9,534,1.7%,"No
"
9732,YEATS2,16,15,534,2.8%,"No
"
9733,BEND5,14,13,534,2.4%,"No
"
9734,TRMU,10,10,534,1.9%,"No
"
9735,ARHGAP10,15,10,534,1.9%,"No
"
9736,GPR15LG,1,1,534,0.2%,"No
"
9737,MREG,5,5,534,0.9%,"No
"
9738,RPAP3,10,7,534,1.3%,"No
"
9739,DYNC2H1,108,54,534,10.1%,"No
"
9740,TMEM179B,3,3,534,0.6%,"No
"
9741,FAM111B,16,11,534,2.1%,"No
"
9742,SHC4,11,10,534,1.9%,"No
"
9743,SLC26A6,6,6,534,1.1%,"No
"
9744,GALNT18,11,11,534,2.1%,"No
"
9745,SLC26A10P,8,6,534,1.1%,"No
"
9746,CTXN2,3,3,534,0.6%,"No
"
9747,TIFA,2,2,534,0.4%,"No
"
9748,PINK1,10,10,534,1.9%,"No
"
9749,AK7,16,14,534,2.6%,"No
"
9750,SH2D4B,4,4,534,0.7%,"No
"
9751,WNT4,6,6,534,1.1%,"No
"
9752,LUC7L,2,2,534,0.4%,"No
"
9753,CYTL1,5,5,534,0.9%,"No
"
9754,FRMD4A,21,18,534,3.4%,"No
"
9755,PACS1,13,12,534,2.2%,"No
"
9756,RBM22,8,7,534,1.3%,"No
"
9757,ROGDI,1,1,534,0.2%,"No
"
9758,NSUN5,8,8,534,1.5%,"No
"
9759,C22ORF46P,1,1,534,0.2%,"No
"
9760,HAO1,14,14,534,2.6%,"No
"
9761,CHMP6,5,5,534,0.9%,"No
"
9762,KDM4D,8,8,534,1.5%,"No
"
9763,ARSJ,18,14,534,2.6%,"No
"
