,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
710,DNAJC12,1,1,149,0.7%,"No
"
711,ZNF717,1,1,149,0.7%,"No
"
712,SOCS1,1,1,149,0.7%,"Yes
"
713,PKHD1L1,2,2,149,1.3%,"No
"
714,SI,1,1,149,0.7%,"No
"
715,PDE6A,1,1,149,0.7%,"No
"
716,SOCS4,1,1,149,0.7%,"No
"
717,RPH3AL,1,1,149,0.7%,"No
"
718,STAB1,1,1,149,0.7%,"No
"
719,NT5C1B,1,1,149,0.7%,"No
"
720,RNF182,1,1,149,0.7%,"No
"
721,APP,1,1,149,0.7%,"No
"
722,NISCH,3,3,149,2.0%,"No
"
723,SLC12A8,1,1,149,0.7%,"No
"
724,PDE3A,1,1,149,0.7%,"No
"
725,CELF3,1,1,149,0.7%,"No
"
726,CLDN23,1,1,149,0.7%,"No
"
727,ST3GAL2,1,1,149,0.7%,"No
"
728,IRS2,2,2,149,1.3%,"Yes
"
729,ST3GAL4,1,1,149,0.7%,"No
"
730,EIF3A,1,1,149,0.7%,"No
"
731,P2RY13,1,1,149,0.7%,"No
"
732,RGS12,1,1,149,0.7%,"No
"
733,ERICH3,1,1,149,0.7%,"No
"
734,RAB42,1,1,149,0.7%,"No
"
735,FUZ,1,1,149,0.7%,"No
"
736,ABCC6,1,1,149,0.7%,"No
"
737,CHAC2,1,1,149,0.7%,"No
"
738,UBR1,1,1,149,0.7%,"No
"
739,TNKS,1,1,149,0.7%,"No
"
740,ABCA2,1,1,149,0.7%,"No
"
741,GPR87,1,1,149,0.7%,"No
"
742,GRK1,2,2,149,1.3%,"No
"
743,EIF4G3,2,2,149,1.3%,"No
"
744,SKI,1,1,149,0.7%,"No
"
745,VPS4B,1,1,149,0.7%,"No
"
746,ENPP3,1,1,149,0.7%,"No
"
747,RING1,1,1,149,0.7%,"No
"
748,SKIC2,1,1,149,0.7%,"No
"
749,MRPL40,1,1,149,0.7%,"No
"
750,NACAD,2,2,149,1.3%,"No
"
751,TRIM23,1,1,149,0.7%,"No
"
752,PDHA2,1,1,149,0.7%,"No
"
753,CABS1,1,1,149,0.7%,"No
"
754,ZZEF1,3,3,149,2.0%,"No
"
755,FOXP4,1,1,149,0.7%,"No
"
756,EHBP1L1,1,1,149,0.7%,"No
"
757,KRTAP13-1,1,1,149,0.7%,"No
"
758,PSIP1,1,1,149,0.7%,"Yes
"
759,ACACA,1,1,149,0.7%,"No
"
760,PDYN,1,1,149,0.7%,"No
"
761,DND1,1,1,149,0.7%,"No
"
762,ACADM,1,1,149,0.7%,"No
"
763,CAMSAP1,1,1,149,0.7%,"No
"
764,HCN1,1,1,149,0.7%,"No
"
765,DENND6A,1,1,149,0.7%,"No
"
766,KRT38,1,1,149,0.7%,"No
"
767,TBC1D9,1,1,149,0.7%,"No
"
768,PDPK1,1,1,149,0.7%,"Yes
"
769,UCP1,1,1,149,0.7%,"No
"
770,CIC,1,1,149,0.7%,"Yes
"
771,BAZ2A,1,1,149,0.7%,"No
"
772,ZNF277,2,2,149,1.3%,"No
"
773,OR11H1,1,1,149,0.7%,"No
"
774,ACLY,1,1,149,0.7%,"No
"
775,LZTR1,6,6,149,4.0%,"Yes
"
776,ARHGAP35,1,1,149,0.7%,"Yes
"
777,CAMTA2,1,1,149,0.7%,"No
"
778,ARHGAP1,1,1,149,0.7%,"No
"
779,ARHGAP4,1,1,149,0.7%,"No
"
780,PLXND1,1,1,149,0.7%,"No
"
781,GRIK4,1,1,149,0.7%,"No
"
782,FGD4,1,1,149,0.7%,"No
"
783,ATRIP,1,1,149,0.7%,"Yes
"
784,FAM83B,1,1,149,0.7%,"No
"
785,MARCHF6,1,1,149,0.7%,"No
"
