,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
7849,THBS4,4,4,484,0.8%,"No
"
7850,TCHH,24,19,484,3.9%,"No
"
7851,PIP5K1A,3,3,484,0.6%,"No
"
7852,RCSD1,5,5,484,1.0%,"No
"
7853,PIP5K1B,9,8,484,1.7%,"No
"
7854,THOP1,8,8,484,1.7%,"No
"
7855,OR3A3,3,3,484,0.6%,"No
"
7856,EDEM3,10,10,484,2.1%,"No
"
7857,ZNF430,11,11,484,2.3%,"No
"
7858,TRIM45,5,5,484,1.0%,"No
"
7859,PHAF1,1,1,484,0.2%,"No
"
7860,TIMP2,5,5,484,1.0%,"No
"
7861,TIMP1,3,3,484,0.6%,"No
"
7862,STYXL2,34,32,484,6.6%,"No
"
7863,TIMP4,1,1,484,0.2%,"No
"
7864,TIMP3,3,3,484,0.6%,"No
"
7865,SLC17A8,35,28,484,5.8%,"No
"
7866,KLF10,7,7,484,1.4%,"No
"
7867,THY1,5,5,484,1.0%,"No
"
7868,TIA1,9,9,484,1.9%,"No
"
7869,TIE1,17,16,484,3.3%,"No
"
7870,TIAM1,25,24,484,5.0%,"No
"
7871,ATOSB,4,4,484,0.8%,"No
"
7872,SLC35F5,3,3,484,0.6%,"No
"
7873,DCAF10,4,4,484,0.8%,"No
"
7874,CEP63,13,13,484,2.7%,"No
"
7875,EFHC2,5,5,484,1.0%,"No
"
7876,LRRIQ4,13,13,484,2.7%,"No
"
7877,SAMD7,13,13,484,2.7%,"No
"
7878,MT1HL1,2,2,484,0.4%,"No
"
7879,DEFB131A,2,2,484,0.4%,"No
"
7880,TLE1,10,10,484,2.1%,"Yes
"
7881,ICAM5,8,8,484,1.7%,"No
"
7882,TLE2,7,6,484,1.2%,"Yes
"
7883,OR13A1,3,3,484,0.6%,"No
"
7884,NKX2-1,3,3,484,0.6%,"Yes
"
7885,AFG1L,5,5,484,1.0%,"No
"
7886,TJP1,20,20,484,4.1%,"No
"
7887,TK2,1,1,484,0.2%,"No
"
7888,OR5H6,15,13,484,2.7%,"No
"
7889,TBC1D31,8,7,484,1.4%,"No
"
7890,TKT,2,2,484,0.4%,"No
"
7891,PGM2L1,9,8,484,1.7%,"No
"
7892,P4HA3,10,9,484,1.9%,"No
"
7893,OR14A16,15,14,484,2.9%,"No
"
7894,TLR4,37,33,484,6.8%,"No
"
7895,TLR3,12,12,484,2.5%,"No
"
7896,TRMT10A,2,2,484,0.4%,"No
"
7897,LMBRD2,13,13,484,2.7%,"No
"
7898,MRPS36,2,2,484,0.4%,"No
"
7899,CACNA2D4,22,22,484,4.5%,"No
"
7900,TLE4,14,14,484,2.9%,"Yes
"
7901,TLE3,8,7,484,1.4%,"Yes
"
7902,PRR18,1,1,484,0.2%,"No
"
7903,TLL2,16,14,484,2.9%,"Yes
"
7904,TLL1,15,14,484,2.9%,"No
"
7905,SEC62,3,2,484,0.4%,"No
"
7906,TLN1,13,12,484,2.5%,"No
"
7907,TLR2,3,3,484,0.6%,"No
"
7908,TLR1,3,3,484,0.6%,"No
"
7909,SLC9C2,16,16,484,3.3%,"No
"
7910,CDK5RAP3,4,4,484,0.8%,"No
"
7911,HSD3B7,1,1,484,0.2%,"No
"
7912,OR2L13,30,30,484,6.2%,"No
"
7913,SCUBE1,13,13,484,2.7%,"No
"
7914,ITPKC,9,8,484,1.7%,"No
"
7915,ZNF627,1,1,484,0.2%,"No
"
7916,PRR23A,16,16,484,3.3%,"No
"
7917,ZNF585B,14,14,484,2.9%,"No
"
7918,ZNF461,11,9,484,1.9%,"No
"
7919,ANKHD1-EIF4EBP3,1,1,484,0.2%,"No
"
7920,LCTL,8,8,484,1.7%,"No
"
7921,ATP6AP1L,4,4,484,0.8%,"No
"
7922,MTERF2,1,1,484,0.2%,"No
"
7923,DAND5,4,4,484,0.8%,"No
"
7924,ERMAP,1,1,484,0.2%,"No
"
7925,FMN2,77,70,484,14.5%,"No
"
7926,KREMEN2,2,2,484,0.4%,"No
"
7927,GLB1L,6,6,484,1.2%,"No
"
7928,LRFN3,3,3,484,0.6%,"No
"
7929,UHMK1,3,3,484,0.6%,"No
"
7930,ZBED2,5,5,484,1.0%,"No
"
7931,RCOR2,1,1,484,0.2%,"No
"
7932,CYBC1,1,1,484,0.2%,"No
"
7933,ODAD3,7,7,484,1.4%,"No
"
7934,CAMK2N1,1,1,484,0.2%,"No
"
7935,CSGALNACT2,10,10,484,2.1%,"No
"
7936,NOX5,12,11,484,2.3%,"No
"
7937,SLC22A24,7,7,484,1.4%,"No
"
7938,TTC9C,1,1,484,0.2%,"No
"
7939,ZNF653,3,3,484,0.6%,"No
"
7940,CCDC88B,6,6,484,1.2%,"No
"
7941,TMEM80,1,1,484,0.2%,"No
"
7942,RBM18,3,3,484,0.6%,"No
"
7943,TSR3,2,2,484,0.4%,"No
"
7944,TIRAP,2,2,484,0.4%,"No
"
7945,UHRF1,1,1,484,0.2%,"No
"
7946,ANKRD11,34,22,484,4.5%,"Yes
"
7947,PRSS50,1,1,484,0.2%,"No
"
7948,CLEC2D,4,4,484,0.8%,"No
"
7949,CRACR2B,1,1,484,0.2%,"No
"
7950,RACGAP1,6,6,484,1.2%,"No
"
7951,CD274,1,1,484,0.2%,"Yes
"
7952,LGALS13,3,3,484,0.6%,"No
"
7953,DNAJA4,2,2,484,0.4%,"No
"
7954,CEMP1,4,4,484,0.8%,"No
"
7955,NDUFAF7,5,5,484,1.0%,"No
"
7956,PPM1K,7,7,484,1.4%,"No
"
7957,KCTD21,4,4,484,0.8%,"No
"
7958,C21ORF91,3,3,484,0.6%,"No
"
7959,MRPL39,2,2,484,0.4%,"No
"
7960,CYP4A22,4,4,484,0.8%,"No
"
7961,MSMP,1,1,484,0.2%,"No
"
7962,DCANP1,5,5,484,1.0%,"No
"
7963,CHMP4C,2,2,484,0.4%,"No
"
7964,FHOD1,7,6,484,1.2%,"No
"
7965,PYCARD,1,1,484,0.2%,"No
"
7966,POM121L12,34,31,484,6.4%,"No
"
7967,NXT1,2,2,484,0.4%,"No
"
7968,SCG3,5,5,484,1.0%,"No
"
7969,SSU72,2,2,484,0.4%,"No
"
7970,PARL,4,4,484,0.8%,"No
"
7971,CFAP20,2,2,484,0.4%,"No
"
7972,N6AMT1,2,2,484,0.4%,"No
"
