,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
506,MEPE,1,1,178,0.6%,"No
"
507,ARNT2,1,1,178,0.6%,"No
"
508,ZNF185,1,1,178,0.6%,"No
"
509,ZNF407,1,1,178,0.6%,"No
"
510,GPR135,1,1,178,0.6%,"No
"
511,LOXL4,1,1,178,0.6%,"No
"
512,MFNG,1,1,178,0.6%,"No
"
513,PRKAR1A,1,1,178,0.6%,"Yes
"
514,RTP4,1,1,178,0.6%,"No
"
515,CNST,1,1,178,0.6%,"No
"
516,SH3BP4,1,1,178,0.6%,"No
"
517,H2AC1,1,1,178,0.6%,"No
"
518,CACNB2,1,1,178,0.6%,"No
"
519,EPS8,1,1,178,0.6%,"No
"
520,EPOR,1,1,178,0.6%,"Yes
"
521,TMEFF2,1,1,178,0.6%,"No
"
522,SEC16B,1,1,178,0.6%,"No
"
523,PRKACB,1,1,178,0.6%,"No
"
524,ANXA5,1,1,178,0.6%,"No
"
525,AKAP13,1,1,178,0.6%,"No
"
526,JOSD1,1,1,178,0.6%,"No
"
527,POLR1B,1,1,178,0.6%,"No
"
528,FBXW12,1,1,178,0.6%,"No
"
529,DLEC1,1,1,178,0.6%,"No
"
530,SULT6B1,1,1,178,0.6%,"No
"
531,HSPBP1,1,1,178,0.6%,"No
"
532,OR52I1,1,1,178,0.6%,"No
"
533,NID2,1,1,178,0.6%,"No
"
534,SEH1L,1,1,178,0.6%,"No
"
535,COG2,1,1,178,0.6%,"No
"
536,ERCC3,1,1,178,0.6%,"Yes
"
537,MGAT2,1,1,178,0.6%,"No
"
538,PRKCB,1,1,178,0.6%,"No
"
539,DMAC1,1,1,178,0.6%,"No
"
540,ADGRL4,1,1,178,0.6%,"No
"
541,MAPK6,1,1,178,0.6%,"No
"
542,HECTD1,1,1,178,0.6%,"No
"
543,NBPF14,1,1,178,0.6%,"No
"
544,TRIML1,1,1,178,0.6%,"No
"
545,APBA1,1,1,178,0.6%,"No
"
546,APBB1,1,1,178,0.6%,"No
"
547,FCRL3,1,1,178,0.6%,"No
"
548,APC,1,1,178,0.6%,"Yes
"
549,BPIFA1,1,1,178,0.6%,"No
"
550,TMC1,1,1,178,0.6%,"No
"
551,MGST1,1,1,178,0.6%,"No
"
552,USO1,1,1,178,0.6%,"No
"
553,PCK1,1,1,178,0.6%,"No
"
554,MAGEC1,2,2,178,1.1%,"No
"
555,ITSN1,1,1,178,0.6%,"No
"
556,DNAH17,1,1,178,0.6%,"No
"
557,TTLL1,1,1,178,0.6%,"No
"
558,RBM24,1,1,178,0.6%,"No
"
559,BIRC3,1,1,178,0.6%,"Yes
"
560,LAMC3,1,1,178,0.6%,"No
"
561,KIF15,1,1,178,0.6%,"No
"
562,FAT4,1,1,178,0.6%,"Yes
"
563,URGCP,1,1,178,0.6%,"No
"
564,TP63,1,1,178,0.6%,"Yes
"
565,HS3ST1,1,1,178,0.6%,"No
"
566,LIPJ,1,1,178,0.6%,"No
"
567,USP15,2,2,178,1.1%,"No
"
568,MACROD2,1,1,178,0.6%,"No
"
569,SHB,1,1,178,0.6%,"No
"
570,SHC1,1,1,178,0.6%,"No
"
571,MKI67,1,1,178,0.6%,"Yes
"
572,AHNAK2,1,1,178,0.6%,"No
"
573,CBLN2,1,1,178,0.6%,"No
"
574,PAOX,1,1,178,0.6%,"No
"
575,IWS1,1,1,178,0.6%,"No
"
576,MED12,1,1,178,0.6%,"Yes
"
577,DPPA2,1,1,178,0.6%,"No
"
578,AOC3,1,1,178,0.6%,"No
"
579,PDE4A,1,1,178,0.6%,"No
"
580,PDE4D,1,1,178,0.6%,"No
"
581,MLLT1,1,1,178,0.6%,"Yes
"
582,THOC1,1,1,178,0.6%,"No
"
583,STAB1,1,1,178,0.6%,"No
"
584,CHSY3,1,1,178,0.6%,"No
"
585,NUP205,1,1,178,0.6%,"No
"
586,PRDM2,1,1,178,0.6%,"No
"
587,SLC12A8,1,1,178,0.6%,"No
"
588,EIF3B,1,1,178,0.6%,"No
"
589,CEP250,1,1,178,0.6%,"No
"
590,PDE1B,1,1,178,0.6%,"No
"
591,SCO2,1,1,178,0.6%,"No
"
592,ST6GAL1,1,1,178,0.6%,"No
"
593,AQP7,1,1,178,0.6%,"No
"
594,CDK5RAP1,1,1,178,0.6%,"No
"
595,SUPT16H,1,1,178,0.6%,"No
"
596,TNKS,1,1,178,0.6%,"No
"
597,ABCA2,1,1,178,0.6%,"No
"
598,ADAMTS3,1,1,178,0.6%,"No
"
599,EIF4G3,1,1,178,0.6%,"No
"
600,OR7C2,1,1,178,0.6%,"No
"
601,MRPL38,1,1,178,0.6%,"No
"
602,QRFPR,1,1,178,0.6%,"No
"
603,STON2,1,1,178,0.6%,"No
"
604,ZZEF1,1,1,178,0.6%,"No
"
605,B4GALNT4,1,1,178,0.6%,"No
"
606,ACACA,1,1,178,0.6%,"No
"
607,BAG3,1,1,178,0.6%,"No
"
608,ACADM,1,1,178,0.6%,"No
"
609,SERPINF1,1,1,178,0.6%,"No
"
610,FAM107A,1,1,178,0.6%,"No
"
611,HCN1,1,1,178,0.6%,"No
"
612,CCSER1,1,1,178,0.6%,"No
"
613,BAZ2A,1,1,178,0.6%,"No
"
614,AMER1,1,1,178,0.6%,"Yes
"
615,GALNT4,1,1,178,0.6%,"No
"
616,PGBD3,1,1,178,0.6%,"No
"
617,CLASP2,1,1,178,0.6%,"No
"
618,FBXO33,1,1,178,0.6%,"No
"
619,COLGALT2,2,2,178,1.1%,"No
"
620,RAD54B,1,1,178,0.6%,"No
"
621,LRRIQ1,1,1,178,0.6%,"No
"
622,RAB3GAP2,1,1,178,0.6%,"No
"
623,CPA4,1,1,178,0.6%,"No
"
624,APC2,1,1,178,0.6%,"No
"
625,CNGB3,1,1,178,0.6%,"No
"
626,ZNF394,1,1,178,0.6%,"No
"
627,GRIN1,1,1,178,0.6%,"No
"
628,MYOM3,1,1,178,0.6%,"No
"
629,MACROH2A1,1,1,178,0.6%,"No
"
630,KDM6B,2,2,178,1.1%,"No
"
631,PEX10,1,1,178,0.6%,"No
"
632,ZNF324,1,1,178,0.6%,"No
"
633,GPATCH8,2,2,178,1.1%,"No
"
634,HECA,1,1,178,0.6%,"No
"
635,PPP1R3F,1,1,178,0.6%,"No
"
636,CLTCL1,1,1,178,0.6%,"Yes
"
637,DOCK7,1,1,178,0.6%,"No
"
638,PNO1,1,1,178,0.6%,"No
"
639,BCAR1,2,2,178,1.1%,"No
"
640,ZC3H6,1,1,178,0.6%,"No
"
641,DMKN,1,1,178,0.6%,"No
"
642,TCTE1,1,1,178,0.6%,"No
"
643,FAF1,1,1,178,0.6%,"Yes
"
644,PIGP,1,1,178,0.6%,"No
"
645,RAB39A,1,1,178,0.6%,"No
"
646,CD160,1,1,178,0.6%,"No
"
647,POLR3A,1,1,178,0.6%,"No
"
648,HIC2,1,1,178,0.6%,"No
"
649,KDM5C,1,1,178,0.6%,"Yes
"
650,RC3H1,1,1,178,0.6%,"No
"
651,BABAM2,1,1,178,0.6%,"No
"
652,KLHDC3,1,1,178,0.6%,"No
"
653,DSTYK,1,1,178,0.6%,"No
"
654,TAB2,1,1,178,0.6%,"No
"
655,SEMA3G,1,1,178,0.6%,"No
"
656,USP9X,4,2,178,1.1%,"No
"
657,C6ORF58,1,1,178,0.6%,"No
"
658,ZPLD1,1,1,178,0.6%,"No
"
659,RGN,1,1,178,0.6%,"No
"
660,ARHGEF10L,1,1,178,0.6%,"No
"
661,PIF1,1,1,178,0.6%,"No
"
662,TDRD9,1,1,178,0.6%,"No
"
663,AFF4,1,1,178,0.6%,"Yes
"
664,FBXL20,1,1,178,0.6%,"No
"
665,SACS,2,2,178,1.1%,"No
"
666,DKK3,1,1,178,0.6%,"Yes
"
667,CYTIP,1,1,178,0.6%,"No
"
668,MROH2B,1,1,178,0.6%,"No
"
669,AWAT1,2,2,178,1.1%,"No
"
670,NPHP4,1,1,178,0.6%,"No
"
671,ZFP2,1,1,178,0.6%,"No
"
672,MED30,1,1,178,0.6%,"No
"
673,IGHV1-45,1,1,178,0.6%,"No
"
674,TENT5D,1,1,178,0.6%,"No
"
675,KIR2DS4,1,1,178,0.6%,"No
"
676,KCNH5,3,3,178,1.7%,"No
"
677,BICC1,1,1,178,0.6%,"No
"
678,CGNL1,1,1,178,0.6%,"No
"
679,PIK3CD-AS1,1,1,178,0.6%,"No
"
680,GTF2A1,1,1,178,0.6%,"No
"
681,RORC,1,1,178,0.6%,"No
"
682,SMG8,1,1,178,0.6%,"No
"
683,ROBO2,1,1,178,0.6%,"No
"
684,ROBO1,1,1,178,0.6%,"Yes
"
685,DCN,1,1,178,0.6%,"No
"
686,KIT,1,1,178,0.6%,"Yes
"
687,DCK,1,1,178,0.6%,"No
"
688,TEKT1,1,1,178,0.6%,"No
"
689,CACYBP,1,1,178,0.6%,"No
"
690,FAM83A,1,1,178,0.6%,"No
"
691,GTF2I,1,1,178,0.6%,"Yes
"
692,EPX,1,1,178,0.6%,"No
"
693,FAM72A,1,1,178,0.6%,"No
"
694,FBXO8,1,1,178,0.6%,"No
"
695,AGXT2,1,1,178,0.6%,"No
"
696,GTF3C1,1,1,178,0.6%,"No
"
