,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
329,BCLAF3,1,1,123,0.8%,"No
"
330,SNRNP200,1,1,123,0.8%,"No
"
331,AMBP,1,1,123,0.8%,"No
"
332,OR11A1,1,1,123,0.8%,"No
"
333,CWF19L2,1,1,123,0.8%,"No
"
334,MPHOSPH9,1,1,123,0.8%,"No
"
335,KRT78,1,1,123,0.8%,"No
"
336,TRO,1,1,123,0.8%,"No
"
337,EEF1A1,2,1,123,0.8%,"No
"
338,BLZF1,1,1,123,0.8%,"No
"
339,KMO,1,1,123,0.8%,"No
"
340,OR2T8,1,1,123,0.8%,"No
"
341,TTC6,1,1,123,0.8%,"No
"
342,MADD,1,1,123,0.8%,"No
"
343,ZNF292,1,1,123,0.8%,"No
"
344,FSIP2,1,1,123,0.8%,"No
"
345,PLPPR4,1,1,123,0.8%,"No
"
346,NUAK1,1,1,123,0.8%,"No
"
347,AMH,1,1,123,0.8%,"No
"
348,L3MBTL3,3,3,123,2.4%,"No
"
349,DNAH10,2,2,123,1.6%,"No
"
350,MAP3K21,1,1,123,0.8%,"No
"
351,ARSH,1,1,123,0.8%,"No
"
352,LGSN,1,1,123,0.8%,"No
"
353,PRKRA,1,1,123,0.8%,"No
"
354,XKR6,1,1,123,0.8%,"No
"
355,RAB35,1,1,123,0.8%,"Yes
"
356,TSN,1,1,123,0.8%,"No
"
357,INTS6,1,1,123,0.8%,"Yes
"
358,SDHC,1,1,123,0.8%,"Yes
"
359,SDHB,1,1,123,0.8%,"Yes
"
360,PLCH1,1,1,123,0.8%,"No
"
361,CATSPER1,1,1,123,0.8%,"No
"
362,TMPRSS13,1,1,123,0.8%,"No
"
363,NKRF,1,1,123,0.8%,"No
"
364,TSHR,1,1,123,0.8%,"Yes
"
365,IFT88,1,1,123,0.8%,"No
"
366,TRAJ47,1,1,123,0.8%,"No
"
367,DMAP1,1,1,123,0.8%,"No
"
368,PAX5,1,1,123,0.8%,"Yes
"
369,NCR1,1,1,123,0.8%,"No
"
370,FNIP1,1,1,123,0.8%,"No
"
371,SPEN,1,1,123,0.8%,"Yes
"
372,MACF1,3,3,123,2.4%,"No
"
373,BRWD3,1,1,123,0.8%,"No
"
374,FOXL2NB,1,1,123,0.8%,"No
"
375,GALNT17,1,1,123,0.8%,"No
"
376,CNOT1,1,1,123,0.8%,"No
"
377,NHLRC3,1,1,123,0.8%,"No
"
378,ANK3,1,1,123,0.8%,"No
"
379,OR2D2,1,1,123,0.8%,"No
"
380,ESF1,1,1,123,0.8%,"No
"
381,TSC2,1,1,123,0.8%,"Yes
"
382,ABCC11,1,1,123,0.8%,"No
"
383,SERP2,1,1,123,0.8%,"Yes
"
384,DNAJC7,2,2,123,1.6%,"No
"
385,ARAP3,1,1,123,0.8%,"No
"
386,ANPEP,1,1,123,0.8%,"No
"
387,PCNX3,1,1,123,0.8%,"No
"
388,PARP15,2,2,123,1.6%,"No
"
389,PAX7,2,2,123,1.6%,"Yes
"
390,PHF3,1,1,123,0.8%,"No
"
391,MEGF8,1,1,123,0.8%,"No
"
392,MEGF6,1,1,123,0.8%,"No
"
393,CELSR2,1,1,123,0.8%,"No
"
394,CELSR3,1,1,123,0.8%,"No
"
395,LNX2,1,1,123,0.8%,"No
"
396,ZNF736,1,1,123,0.8%,"No
"
397,PLXNC1,1,1,123,0.8%,"No
"
398,ABHD17B,1,1,123,0.8%,"No
"
399,PIAS4,1,1,123,0.8%,"No
"
400,SLC27A3,1,1,123,0.8%,"No
"
401,GOLGB1,1,1,123,0.8%,"No
"
402,ITM2A,1,1,123,0.8%,"No
"
403,MYOF,1,1,123,0.8%,"No
"
404,COL6A6,2,2,123,1.6%,"No
"
405,BRD4,2,2,123,1.6%,"Yes
"
406,ZNF441,1,1,123,0.8%,"No
"
407,PC,2,2,123,1.6%,"Yes
"
408,AP3B2,1,1,123,0.8%,"No
"
409,PCBP2,1,1,123,0.8%,"No
"
410,TTN,8,6,123,4.9%,"No
"
411,EIF1AX,2,2,123,1.6%,"Yes
"
412,SRRT,1,1,123,0.8%,"No
"
413,TRIM9,1,1,123,0.8%,"No
"
414,NBAS,1,1,123,0.8%,"No
"
415,LIN37,1,1,123,0.8%,"No
"
416,TULP3,1,1,123,0.8%,"No
"
417,UBLCP1,1,1,123,0.8%,"No
"
418,PCYT1B,1,1,123,0.8%,"No
"
419,SLC25A46,1,1,123,0.8%,"No
"
420,RASAL2,1,1,123,0.8%,"No
"
421,CAMKV,1,1,123,0.8%,"No
"
422,EPN3,2,2,123,1.6%,"No
"
423,RAX2,1,1,123,0.8%,"No
"
424,C1QTNF5,1,1,123,0.8%,"No
"
425,LYRM2,1,1,123,0.8%,"No
"
426,PCNX2,1,1,123,0.8%,"No
"
427,GPLD1,1,1,123,0.8%,"No
"
428,GPI,1,1,123,0.8%,"No
"
429,GPD2,1,1,123,0.8%,"No
"
430,OLFML2A,1,1,123,0.8%,"No
"
431,NOC2L,1,1,123,0.8%,"No
"
432,NHSL1,1,1,123,0.8%,"No
"
433,DOCK5,1,1,123,0.8%,"No
"
434,NBPF10,1,1,123,0.8%,"No
"
435,ROCK2,1,1,123,0.8%,"No
"
436,KIAA0825,2,2,123,1.6%,"No
"
437,AKAP6,1,1,123,0.8%,"No
"
438,TXK,1,1,123,0.8%,"No
"
439,CTNND2,2,2,123,1.6%,"No
"
440,RAB3IP,1,1,123,0.8%,"No
"
441,CTSB,1,1,123,0.8%,"No
"
442,CHST10,1,1,123,0.8%,"No
"
443,CBLL2,1,1,123,0.8%,"No
"
444,ARSI,1,1,123,0.8%,"No
"
445,CDH20,1,1,123,0.8%,"No
"
446,TNN,1,1,123,0.8%,"No
"
447,HOATZ,1,1,123,0.8%,"No
"
448,CTSL,1,1,123,0.8%,"No
"
449,CTSG,1,1,123,0.8%,"No
"
450,GAPVD1,1,1,123,0.8%,"No
"
451,PVRIG,1,1,123,0.8%,"No
"
452,CCDC142,1,1,123,0.8%,"No
"
453,GALNT9,1,1,123,0.8%,"No
"
454,HAUS8,1,1,123,0.8%,"No
"
455,TAF1C,1,1,123,0.8%,"No
"
456,ITSN2,1,1,123,0.8%,"No
"
457,C7ORF25,1,1,123,0.8%,"No
"
458,DACH2,1,1,123,0.8%,"No
"
459,ITPKB,1,1,123,0.8%,"No
"
460,STT3B,1,1,123,0.8%,"No
"
461,ITPR1,1,1,123,0.8%,"No
"
462,NAA25,1,1,123,0.8%,"No
"
463,ITPR2,1,1,123,0.8%,"No
"
464,NOMO3,1,1,123,0.8%,"No
"
465,ITIH4,1,1,123,0.8%,"No
"
466,RNF8,1,1,123,0.8%,"No
"
467,ZNF559-ZNF177,1,1,123,0.8%,"No
"
468,RHBDL1,1,1,123,0.8%,"No
"
469,TANC2,1,1,123,0.8%,"No
"
470,KIF26B,1,1,123,0.8%,"No
"
471,ARGLU1,1,1,123,0.8%,"No
"
472,PCLO,4,4,123,3.3%,"Yes
"
473,LDLRAP1,1,1,123,0.8%,"No
"
474,SOBP,1,1,123,0.8%,"No
"
475,CYB561,1,1,123,0.8%,"No
"
476,ERC1,1,1,123,0.8%,"Yes
"
477,ZDHHC12,1,1,123,0.8%,"No
"
478,CALY,1,1,123,0.8%,"No
"
479,ANO7,1,1,123,0.8%,"No
"
