,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
1508,SCAP,1,1,65,1.5%,"No
"
1509,CAVIN3,1,1,65,1.5%,"No
"
1510,ZDBF2,1,1,65,1.5%,"No
"
1511,OR52N1,1,1,65,1.5%,"No
"
1512,SMPD1,1,1,65,1.5%,"No
"
1513,DNM3,1,1,65,1.5%,"No
"
1514,PPP1R16B,1,1,65,1.5%,"No
"
1515,PHIP,1,1,65,1.5%,"No
"
1516,PID1,1,1,65,1.5%,"No
"
1517,FCRLA,1,1,65,1.5%,"No
"
1518,PNRC1,1,1,65,1.5%,"Yes
"
1519,CACHD1,1,1,65,1.5%,"No
"
1520,FGB,2,1,65,1.5%,"No
"
1521,ANKRD17,2,2,65,3.1%,"No
"
1522,ZNF445,1,1,65,1.5%,"No
"
1523,FAM86B2,1,1,65,1.5%,"No
"
1524,SLC13A5,1,1,65,1.5%,"No
"
1525,WFDC5,1,1,65,1.5%,"No
"
1526,PLXNA4,1,1,65,1.5%,"No
"
1527,PTPN3,1,1,65,1.5%,"No
"
1528,TMIGD1,1,1,65,1.5%,"No
"
1529,SLC45A4,1,1,65,1.5%,"No
"
1530,SHANK2,1,1,65,1.5%,"No
"
1531,TNRC6C,1,1,65,1.5%,"No
"
1532,LSM14A,1,1,65,1.5%,"No
"
1533,PLPP7,1,1,65,1.5%,"No
"
1534,RAI14,1,1,65,1.5%,"No
"
1535,ZBTB48,1,1,65,1.5%,"No
"
1536,CARMIL2,1,1,65,1.5%,"No
"
1537,KLHL33,2,2,65,3.1%,"No
"
1538,EXD1,1,1,65,1.5%,"No
"
1539,PTPN13,1,1,65,1.5%,"Yes
"
1540,ALG11,1,1,65,1.5%,"No
"
1541,NOC3L,1,1,65,1.5%,"No
"
1542,NLRP8,1,1,65,1.5%,"No
"
1543,ZNF837,1,1,65,1.5%,"No
"
1544,FGG,1,1,65,1.5%,"No
"
1545,IL13RA1,1,1,65,1.5%,"No
"
1546,IL18RAP,1,1,65,1.5%,"No
"
1547,SNRPB2,1,1,65,1.5%,"No
"
1548,SAXO1,1,1,65,1.5%,"No
"
1549,SNRPB,1,1,65,1.5%,"No
"
1550,PTPRF,1,1,65,1.5%,"No
"
1551,HAPLN4,1,1,65,1.5%,"No
"
1552,PKD2,1,1,65,1.5%,"No
"
1553,LINC01587,1,1,65,1.5%,"No
"
1554,ANO9,1,1,65,1.5%,"No
"
1555,RGSL1,1,1,65,1.5%,"No
"
1556,RTCB,1,1,65,1.5%,"No
"
1557,LYG2,1,1,65,1.5%,"No
"
1558,ATP6V1B1,1,1,65,1.5%,"No
"
1559,PTPRA,1,1,65,1.5%,"No
"
1560,ATP6V1B2,1,1,65,1.5%,"Yes
"
1561,AKAP9,1,1,65,1.5%,"No
"
1562,EFHB,1,1,65,1.5%,"No
"
1563,PTPRD,1,1,65,1.5%,"Yes
"
1564,FAM13A,1,1,65,1.5%,"No
"
1565,LGI3,1,1,65,1.5%,"No
"
1566,SLC7A8,1,1,65,1.5%,"No
"
1567,SYNGAP1,1,1,65,1.5%,"No
"
1568,NFKBIZ,1,1,65,1.5%,"No
"
1569,SORL1,1,1,65,1.5%,"No
"
1570,MR1,1,1,65,1.5%,"No
"
1571,MRPL50,1,1,65,1.5%,"No
"
1572,QSER1,1,1,65,1.5%,"No
"
1573,FKBP4,1,1,65,1.5%,"No
"
1574,ATP6AP1,1,1,65,1.5%,"Yes
"
1575,PKHD1,1,1,65,1.5%,"No
"
1576,ATP7A,1,1,65,1.5%,"No
"
1577,PKM,1,1,65,1.5%,"No
"
1578,PTPRN2,2,2,65,3.1%,"No
"
1579,CCHCR1,1,1,65,1.5%,"No
"
1580,NRP2,1,1,65,1.5%,"No
"
1581,IQGAP1,1,1,65,1.5%,"No
"
1582,HS6ST3,1,1,65,1.5%,"No
"
1583,AZI2,1,1,65,1.5%,"No
"
1584,TPSD1,1,1,65,1.5%,"No
"
1585,GPR161,1,1,65,1.5%,"No
"
1586,DDIT4,1,1,65,1.5%,"No
"
1587,PBK,1,1,65,1.5%,"No
"
1588,OR11H12,1,1,65,1.5%,"No
"
1589,LRPPRC,1,1,65,1.5%,"No
"
1590,HMGB2,1,1,65,1.5%,"No
"
1591,ATR,1,1,65,1.5%,"Yes
"
1592,ATRX,1,1,65,1.5%,"Yes
"
1593,FOXI1,1,1,65,1.5%,"No
"
1594,RC3H2,1,1,65,1.5%,"No
"
1595,SOS2,2,2,65,3.1%,"No
"
1596,GGH,1,1,65,1.5%,"No
"
