,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
7527,COL14A1,4,4,366,1.1%,"No
"
7528,RNF2,1,1,366,0.3%,"No
"
7529,NR1H2,1,1,366,0.3%,"No
"
7530,USP4,4,4,366,1.1%,"No
"
7531,UPP1,1,1,366,0.3%,"No
"
7532,BRD2,1,1,366,0.3%,"No
"
7533,RNF6,1,1,366,0.3%,"No
"
7534,RNASEL,2,2,366,0.5%,"No
"
7535,UMPS,2,2,366,0.5%,"No
"
7536,UCK2,1,1,366,0.3%,"No
"
7537,RNASE6,1,1,366,0.3%,"No
"
7538,C15ORF39,2,2,366,0.5%,"No
"
7539,THAP10,2,2,366,0.5%,"No
"
7540,SPIRE1,4,4,366,1.1%,"No
"
7541,PNO1,1,1,366,0.3%,"No
"
7542,PAPOLB,2,2,366,0.5%,"No
"
7543,LHFPL3,2,2,366,0.5%,"No
"
7544,SLC26A5,1,1,366,0.3%,"No
"
7545,ZC3H6,5,5,366,1.4%,"No
"
7546,UQCRH,1,1,366,0.3%,"No
"
7547,ABCE1,5,5,366,1.4%,"No
"
7548,UQCRB,1,1,366,0.3%,"No
"
7549,RNPEP,2,2,366,0.5%,"No
"
7550,STARD7,2,2,366,0.5%,"No
"
7551,EXOSC5,1,1,366,0.3%,"No
"
7552,SMARCAD1,2,2,366,0.5%,"No
"
7553,MEIS3,3,2,366,0.5%,"No
"
7554,IFT46,1,1,366,0.3%,"No
"
7555,C1GALT1,1,1,366,0.3%,"No
"
7556,USP1,3,3,366,0.8%,"No
"
7557,DHX33,1,1,366,0.3%,"No
"
7558,USH2A,28,25,366,6.8%,"No
"
7559,SEMA3G,1,1,366,0.3%,"No
"
7560,NCLN,1,1,366,0.3%,"No
"
7561,GPR108,1,1,366,0.3%,"No
"
7562,FEM1C,1,1,366,0.3%,"No
"
7563,MCCC1,2,2,366,0.5%,"No
"
7564,NMUR2,5,5,366,1.4%,"No
"
7565,PAK6,1,1,366,0.3%,"No
"
7566,C6ORF58,1,1,366,0.3%,"No
"
7567,SLC39A13,1,1,366,0.3%,"No
"
7568,PTCHD3,2,2,366,0.5%,"No
"
7569,TDRD9,5,5,366,1.4%,"No
"
7570,TMEM247,1,1,366,0.3%,"No
"
7571,G6PC3,1,1,366,0.3%,"No
"
7572,FSD2,1,1,366,0.3%,"No
"
7573,SLC22A25,3,3,366,0.8%,"No
"
7574,WHAMM,1,1,366,0.3%,"No
"
7575,PCARE,5,5,366,1.4%,"No
"
7576,LYPD4,1,1,366,0.3%,"No
"
7577,ROS1,4,4,366,1.1%,"Yes
"
7578,ROBO2,15,12,366,3.3%,"No
"
7579,ROBO1,12,11,366,3.0%,"Yes
"
7580,ROM1,1,1,366,0.3%,"No
"
7581,ROCK1,5,5,366,1.4%,"No
"
7582,RORB,1,1,366,0.3%,"No
"
7583,SPINK14,1,1,366,0.3%,"No
"
7584,RORA,2,2,366,0.5%,"No
"
7585,BOD1,1,1,366,0.3%,"No
"
7586,C2ORF81,3,3,366,0.8%,"No
"
7587,ZNF764,1,1,366,0.3%,"No
"
7588,ASB16,1,1,366,0.3%,"No
"
7589,TSPYL6,1,1,366,0.3%,"No
"
7590,WDR36,6,6,366,1.6%,"No
"
7591,C16ORF46,1,1,366,0.3%,"No
"
7592,LMF2,1,1,366,0.3%,"No
"
7593,GPR142,3,3,366,0.8%,"No
"
7594,MSANTD3,1,1,366,0.3%,"No
"
7595,SKIDA1,1,1,366,0.3%,"No
"
7596,WASHC2A,3,3,366,0.8%,"No
"
7597,IQCJ-SCHIP1,1,1,366,0.3%,"No
"
7598,NHLRC2,2,2,366,0.5%,"No
"
7599,SPATC1,2,2,366,0.5%,"No
"
7600,CCDC172,3,3,366,0.8%,"No
"
7601,PLA2G4E,1,1,366,0.3%,"No
"
7602,ANKRD9,1,1,366,0.3%,"No
"
7603,PRAMEF1,2,2,366,0.5%,"No
"
7604,INTS3,3,3,366,0.8%,"No
"
7605,PRAMEF2,2,2,366,0.5%,"No
"
7606,WNK1,2,2,366,0.5%,"No
"
7607,MIEF1,2,2,366,0.5%,"No
"
7608,ARMCX6,2,2,366,0.5%,"No
"
7609,PRICKLE1,5,5,366,1.4%,"No
"
7610,PRAMEF12,2,2,366,0.5%,"No
"
7611,TXNDC15,1,1,366,0.3%,"No
"
7612,NLE1,2,2,366,0.5%,"No
"
7613,NSUN4,2,2,366,0.5%,"No
"
7614,KRT20,4,3,366,0.8%,"No
"
7615,MCTP1,7,5,366,1.4%,"No
"
7616,ITIH5,8,8,366,2.2%,"No
"
7617,GRTP1,1,1,366,0.3%,"No
"
7618,ACBD4,1,1,366,0.3%,"No
"
7619,ZFHX4,15,13,366,3.6%,"No
"
7620,STARD5,2,2,366,0.5%,"No
"
7621,PLEKHA5,5,5,366,1.4%,"No
"
7622,THAP7,1,1,366,0.3%,"No
"
7623,TBPL2,2,2,366,0.5%,"No
"
7624,RNF216,5,5,366,1.4%,"No
"
7625,MICALL2,5,5,366,1.4%,"No
"
7626,DNER,6,6,366,1.6%,"No
"
7627,SESTD1,4,4,366,1.1%,"No
"
7628,OTOP2,2,2,366,0.5%,"No
"
7629,CCDC74B,2,2,366,0.5%,"No
"
7630,STIMATE,2,2,366,0.5%,"No
"
7631,SLC6A17,3,3,366,0.8%,"No
"
7632,TSEN2,1,1,366,0.3%,"No
"
