,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
8433,THBS1,5,5,255,2.0%,"No
"
8434,CDHR1,4,3,255,1.2%,"No
"
8435,THBS3,2,2,255,0.8%,"No
"
8436,THBS2,1,1,255,0.4%,"No
"
8437,PPP6R3,1,1,255,0.4%,"No
"
8438,BRF2,1,1,255,0.4%,"No
"
8439,TGM1,2,2,255,0.8%,"No
"
8440,OR1A1,1,1,255,0.4%,"No
"
8441,TBC1D19,1,1,255,0.4%,"No
"
8442,TRIM11,2,2,255,0.8%,"No
"
8443,TGIF1,1,1,255,0.4%,"No
"
8444,KLHL26,1,1,255,0.4%,"No
"
8445,PNPLA1,1,1,255,0.4%,"No
"
8446,ERCC6L2,1,1,255,0.4%,"No
"
8447,TGM3,3,3,255,1.2%,"No
"
8448,TGM2,3,3,255,1.2%,"No
"
8449,CCDC91,1,1,255,0.4%,"No
"
8450,ACTL8,1,1,255,0.4%,"No
"
8451,A2ML1,1,1,255,0.4%,"No
"
8452,ELL3,1,1,255,0.4%,"No
"
8453,C1ORF21,1,1,255,0.4%,"No
"
8454,RUFY1,1,1,255,0.4%,"No
"
8455,THRA,1,1,255,0.4%,"No
"
8456,PNPLA7,3,3,255,1.2%,"No
"
8457,TREML4,1,1,255,0.4%,"No
"
8458,OR1G1,2,2,255,0.8%,"No
"
8459,TCHH,3,3,255,1.2%,"No
"
8460,PIP5K1A,1,1,255,0.4%,"No
"
8461,PIP5K1B,1,1,255,0.4%,"No
"
8462,THOP1,1,1,255,0.4%,"No
"
8463,EDEM3,1,1,255,0.4%,"No
"
8464,ZNF467,1,1,255,0.4%,"No
"
8465,ZNF430,1,1,255,0.4%,"No
"
8466,INSC,2,2,255,0.8%,"No
"
8467,PADI3,2,2,255,0.8%,"No
"
8468,TRIM45,1,1,255,0.4%,"No
"
8469,NLK,1,1,255,0.4%,"No
"
8470,PHAF1,1,1,255,0.4%,"No
"
8471,GPRC5B,2,2,255,0.8%,"No
"
8472,TIMP2,1,1,255,0.4%,"No
"
8473,TIMP1,1,1,255,0.4%,"No
"
8474,EMCN,1,1,255,0.4%,"No
"
8475,STYXL2,9,5,255,2.0%,"No
"
8476,SLC17A8,1,1,255,0.4%,"No
"
8477,KLF10,1,1,255,0.4%,"No
"
8478,TIAL1,1,1,255,0.4%,"No
"
8479,TIA1,1,1,255,0.4%,"No
"
8480,TIE1,4,4,255,1.6%,"No
"
8481,TIAM1,2,2,255,0.8%,"No
"
8482,ATOSB,1,1,255,0.4%,"No
"
8483,DCAF10,1,1,255,0.4%,"No
"
8484,EFHC2,1,1,255,0.4%,"No
"
8485,LRRIQ4,1,1,255,0.4%,"No
"
8486,SAMD7,1,1,255,0.4%,"No
"
8487,MT1HL1,1,1,255,0.4%,"No
"
8488,ZNF44,1,1,255,0.4%,"No
"
8489,OR56B1,1,1,255,0.4%,"No
"
8490,TLE1,2,2,255,0.8%,"Yes
"
8491,CAB39,1,1,255,0.4%,"No
"
8492,TLE2,1,1,255,0.4%,"Yes
"
8493,OR13A1,2,2,255,0.8%,"No
"
8494,PTPRQ,3,3,255,1.2%,"No
"
8495,USF3,3,3,255,1.2%,"No
"
8496,TJP1,3,2,255,0.8%,"No
"
8497,TK2,1,1,255,0.4%,"No
"
8498,OR5H6,1,1,255,0.4%,"No
"
8499,TBC1D31,2,2,255,0.8%,"No
"
8500,TKT,1,1,255,0.4%,"No
"
8501,NGFR,2,2,255,0.8%,"No
"
8502,SPDYC,2,1,255,0.4%,"No
"
8503,P4HA3,2,2,255,0.8%,"No
"
8504,SLC22A10,2,2,255,0.8%,"No
"
8505,C12ORF42,1,1,255,0.4%,"No
"
8506,DNAJB11,2,2,255,0.8%,"No
"
8507,NGF,1,1,255,0.4%,"No
"
8508,FBXO40,1,1,255,0.4%,"No
"
8509,TLR4,2,2,255,0.8%,"No
"
8510,TLR3,2,2,255,0.8%,"No
"
8511,TRMT10A,2,1,255,0.4%,"No
"
8512,LMBRD2,2,1,255,0.4%,"No
"
8513,KRT77,2,2,255,0.8%,"No
"
8514,MRPS36,1,1,255,0.4%,"No
"
8515,CACNA2D4,1,1,255,0.4%,"No
"
8516,TLE3,2,2,255,0.8%,"Yes
"
8517,TLL2,1,1,255,0.4%,"Yes
"
8518,TLL1,1,1,255,0.4%,"No
"
8519,TLN1,4,4,255,1.6%,"No
"
8520,TLR2,3,3,255,1.2%,"No
"
8521,NIT1,2,2,255,0.8%,"No
"
8522,SLC9C2,5,5,255,2.0%,"No
"
8523,CDK5RAP3,1,1,255,0.4%,"No
"
8524,OR2L13,2,2,255,0.8%,"No
"
8525,AGRN,3,3,255,1.2%,"No
"
8526,NHS,1,1,255,0.4%,"No
"
8527,NID1,1,1,255,0.4%,"No
"
8528,RAPGEF6,3,2,255,0.8%,"No
"
8529,SCUBE1,4,4,255,1.6%,"No
"
8530,KCNU1,1,1,255,0.4%,"No
"
8531,PRR23A,2,2,255,0.8%,"No
"
8532,ZNF585B,1,1,255,0.4%,"No
"
8533,CFAP54,10,10,255,3.9%,"No
"
8534,PKD1L1,4,4,255,1.6%,"No
"
8535,NKTR,4,3,255,1.2%,"No
"
8536,LCTL,1,1,255,0.4%,"No
"
8537,LUC7L3,1,1,255,0.4%,"No
"
8538,ATP6AP1L,1,1,255,0.4%,"No
"
8539,NNMT,1,1,255,0.4%,"No
"
8540,IGHG4,1,1,255,0.4%,"No
"
8541,NOP2,1,1,255,0.4%,"No
"
8542,MTERF2,2,2,255,0.8%,"No
"
8543,IGHG3,2,2,255,0.8%,"No
"
8544,IGHG1,1,1,255,0.4%,"No
"
8545,HIGD1B,1,1,255,0.4%,"No
"
8546,ERAP1,2,2,255,0.8%,"No
"
8547,NME2,1,1,255,0.4%,"No
"
8548,CDK12,3,3,255,1.2%,"Yes
"
8549,TMEM8B,1,1,255,0.4%,"No
"
8550,IGHM,1,1,255,0.4%,"No
"
8551,DAND5,2,2,255,0.8%,"No
"
