,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
1128,CANT1,1,1,86,1.2%,"Yes
"
1129,DNHD1,3,3,86,3.5%,"No
"
1130,SPHKAP,1,1,86,1.2%,"No
"
1131,PROX1,1,1,86,1.2%,"No
"
1132,FEZF1,1,1,86,1.2%,"No
"
1133,STAMBPL1,1,1,86,1.2%,"No
"
1134,LRRC24,1,1,86,1.2%,"No
"
1135,DNAH14,1,1,86,1.2%,"No
"
1136,LRRC7,1,1,86,1.2%,"No
"
1137,LMTK3,1,1,86,1.2%,"No
"
1138,TET1,1,1,86,1.2%,"Yes
"
1139,HRNR,1,1,86,1.2%,"No
"
1140,CASR,1,1,86,1.2%,"No
"
1141,DNALI1,1,1,86,1.2%,"No
"
1142,THEM5,1,1,86,1.2%,"No
"
1143,XKR7,1,1,86,1.2%,"No
"
1144,NFE2L1,1,1,86,1.2%,"No
"
1145,CCDC153,1,1,86,1.2%,"No
"
1146,ADAM28,1,1,86,1.2%,"No
"
1147,NFKBIA,1,1,86,1.2%,"Yes
"
1148,NFKBIE,1,1,86,1.2%,"Yes
"
1149,COL4A3,1,1,86,1.2%,"No
"
1150,EXT2,1,1,86,1.2%,"Yes
"
1151,COL4A2,1,1,86,1.2%,"No
"
1152,CCNL2,1,1,86,1.2%,"No
"
1153,SIPA1L2,1,1,86,1.2%,"No
"
1154,ZNF396,1,1,86,1.2%,"No
"
1155,STKLD1,2,2,86,2.3%,"No
"
1156,KLHL8,1,1,86,1.2%,"No
"
1157,COASY,1,1,86,1.2%,"No
"
1158,REEP4,1,1,86,1.2%,"No
"
1159,MYO18B,1,1,86,1.2%,"No
"
1160,SLC38A10,1,1,86,1.2%,"No
"
1161,VMP1,1,1,86,1.2%,"No
"
1162,PRRG1,1,1,86,1.2%,"No
"
1163,MED12L,1,1,86,1.2%,"No
"
1164,COL8A2,1,1,86,1.2%,"No
"
1165,DOCK6,1,1,86,1.2%,"No
"
1166,ULBP2,1,1,86,1.2%,"No
"
1167,COL7A1,2,2,86,2.3%,"No
"
1168,COL6A3,1,1,86,1.2%,"No
"
1169,AQP12B,1,1,86,1.2%,"No
"
1170,COL6A2,1,1,86,1.2%,"No
"
1171,COL5A2,1,1,86,1.2%,"No
"
1172,PDE10A,1,1,86,1.2%,"No
"
1173,PCDH10,1,1,86,1.2%,"No
"
1174,COL4A5,1,1,86,1.2%,"No
"
1175,EXTL1,1,1,86,1.2%,"No
"
1176,TECTB,2,2,86,2.3%,"No
"
1177,MMP2,1,1,86,1.2%,"No
"
1178,MMP8,1,1,86,1.2%,"No
"
1179,MASP1,1,1,86,1.2%,"No
"
1180,RELN,2,2,86,2.3%,"Yes
"
1181,TBX22,1,1,86,1.2%,"No
"
1182,ANHX,2,2,86,2.3%,"No
"
1183,DYNLT2,1,1,86,1.2%,"No
"
1184,CRTAP,1,1,86,1.2%,"No
"
1185,PSD,1,1,86,1.2%,"No
"
1186,SLC1A6,1,1,86,1.2%,"No
"
1187,IQCF2,1,1,86,1.2%,"No
"
1188,GZMA,1,1,86,1.2%,"No
"
1189,F5,1,1,86,1.2%,"No
"
1190,IGFALS,1,1,86,1.2%,"No
"
1191,TSKU,1,1,86,1.2%,"No
"
1192,NEDD4L,1,1,86,1.2%,"No
"
1193,HINFP,1,1,86,1.2%,"No
"
1194,SH2B3,1,1,86,1.2%,"Yes
"
1195,MBTPS2,1,1,86,1.2%,"No
"
1196,BCL2L11,1,1,86,1.2%,"Yes
"
1197,CEP72,1,1,86,1.2%,"No
"
1198,GIPC3,1,1,86,1.2%,"No
"
1199,EZH2,1,1,86,1.2%,"Yes
"
1200,PLA1A,1,1,86,1.2%,"No
"
1201,ENOX2,1,1,86,1.2%,"No
"
1202,INTS13,1,1,86,1.2%,"No
"
1203,TSNARE1,1,1,86,1.2%,"No
"
1204,ZCCHC2,1,1,86,1.2%,"No
"
1205,MGLL,1,1,86,1.2%,"No
"
1206,SLC1A2,1,1,86,1.2%,"Yes
"
1207,PXDN,1,1,86,1.2%,"No
"
1208,PM20D2,1,1,86,1.2%,"No
"
1209,SLC4A3,1,1,86,1.2%,"No
"
1210,LEXM,1,1,86,1.2%,"No
"
1211,SLC3A2,1,1,86,1.2%,"No
"
1212,IL1R2,1,1,86,1.2%,"No
"
1213,GNE,1,1,86,1.2%,"No
"
1214,H2AC7,1,1,86,1.2%,"No
"
1215,H2AC8,1,1,86,1.2%,"No
"
1216,NLRP9,3,3,86,3.5%,"No
"
1217,NLRP14,1,1,86,1.2%,"No
"
1218,H1-4,1,1,86,1.2%,"Yes
"
1219,BCOR,2,2,86,2.3%,"Yes
"
1220,H1-3,1,1,86,1.2%,"Yes
"
1221,NLRP7,3,3,86,3.5%,"No
"
1222,H1-2,1,1,86,1.2%,"Yes
"
1223,GZMM,1,1,86,1.2%,"No
"
1224,UCHL5,1,1,86,1.2%,"No
"
1225,MOBP,1,1,86,1.2%,"No
"
1226,TDO2,1,1,86,1.2%,"No
"
1227,NSUN2,1,1,86,1.2%,"No
"
1228,SLC3A1,1,1,86,1.2%,"No
"
1229,LRRC63,1,1,86,1.2%,"No
"
1230,SERPINA9,1,1,86,1.2%,"No
"
1231,SLC6A2,1,1,86,1.2%,"No
"
1232,TMPRSS3,1,1,86,1.2%,"No
"
1233,ARAP1,1,1,86,1.2%,"No
"
1234,FANCA,2,2,86,2.3%,"Yes
"
1235,H3-3B,1,1,86,1.2%,"Yes
"
1236,KIF13B,1,1,86,1.2%,"No
"
1237,CCND3,1,1,86,1.2%,"Yes
"
1238,CHFR,1,1,86,1.2%,"No
"
1239,PSG7,1,1,86,1.2%,"No
"
1240,FZD5,1,1,86,1.2%,"No
"
1241,TRIM38,1,1,86,1.2%,"No
"
1242,SMTN,2,2,86,2.3%,"No
"
1243,GPN1,1,1,86,1.2%,"No
"
1244,AP5M1,1,1,86,1.2%,"No
"
1245,EXOC3L4,1,1,86,1.2%,"No
"
1246,DNAJC13,1,1,86,1.2%,"No
"
1247,OR5L1,1,1,86,1.2%,"No
"
1248,ROBO3,1,1,86,1.2%,"No
"
1249,OR5D14,1,1,86,1.2%,"No
"
1250,PSMB5,1,1,86,1.2%,"No
"
1251,PFKFB4,1,1,86,1.2%,"No
"
1252,SLC8A2,1,1,86,1.2%,"No
"
1253,USP7,1,1,86,1.2%,"No
"
1254,AMOTL1,1,1,86,1.2%,"No
"
1255,UNC50,1,1,86,1.2%,"No
"
1256,NCAPD3,1,1,86,1.2%,"No
"
1257,ACSL4,1,1,86,1.2%,"No
"
1258,OGDHL,3,3,86,3.5%,"No
"
1259,ARAP2,1,1,86,1.2%,"No
"
1260,AKT3,1,1,86,1.2%,"Yes
"
1261,SEC23A,1,1,86,1.2%,"No
"
1262,TTL,1,1,86,1.2%,"Yes
"
1263,PSMB1,1,1,86,1.2%,"No
"
1264,MED6,1,1,86,1.2%,"No
"
1265,LGALSL,1,1,86,1.2%,"No
"
1266,OR4C16,1,1,86,1.2%,"No
"
1267,FLRT2,1,1,86,1.2%,"No
"
1268,OR8H2,1,1,86,1.2%,"No
"
1269,OR8H3,1,1,86,1.2%,"No
"
1270,CHRDL1,1,1,86,1.2%,"No
"
1271,PISD,1,1,86,1.2%,"No
"
1272,CFAP157,1,1,86,1.2%,"No
"
1273,ESX1,1,1,86,1.2%,"No
"
1274,FAT1,1,1,86,1.2%,"Yes
"
1275,DNAAF9,1,1,86,1.2%,"No
"
1276,FBLN1,1,1,86,1.2%,"No
"
1277,ZC3H7A,1,1,86,1.2%,"No
"
1278,ASL,1,1,86,1.2%,"No
"
1279,IFT122,1,1,86,1.2%,"No
"
1280,VAV3,1,1,86,1.2%,"No
"
1281,SLC9A1,1,1,86,1.2%,"No
"
1282,CDK14,1,1,86,1.2%,"No
"
1283,TAB1,1,1,86,1.2%,"No
"
1284,WDR91,1,1,86,1.2%,"No
"
1285,ABCG8,1,1,86,1.2%,"No
"
1286,VAV2,1,1,86,1.2%,"Yes
"
1287,PRR23B,1,1,86,1.2%,"No
"
1288,PRR11,1,1,86,1.2%,"No
"
1289,ANKRD55,1,1,86,1.2%,"No
"
1290,SLC12A1,1,1,86,1.2%,"No
"
1291,WDR59,1,1,86,1.2%,"No
"
1292,KDM6A,1,1,86,1.2%,"Yes
"
1293,VARS1,1,1,86,1.2%,"No
"
1294,SETD2,8,8,86,9.3%,"Yes
"
