,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
732,CAMSAP1,1,1,36,2.8%,"No
"
733,HCN1,1,1,36,2.8%,"No
"
734,CLCC1,1,1,36,2.8%,"No
"
735,SLC47A2,1,1,36,2.8%,"No
"
736,ASB2,1,1,36,2.8%,"No
"
737,MPZL3,1,1,36,2.8%,"No
"
738,GPN2,1,1,36,2.8%,"No
"
739,OR11H1,1,1,36,2.8%,"No
"
740,ACHE,1,1,36,2.8%,"No
"
741,PDP1,1,1,36,2.8%,"No
"
742,PEPD,1,1,36,2.8%,"No
"
743,NRG2,1,1,36,2.8%,"No
"
744,GALNT4,2,1,36,2.8%,"No
"
745,PER1,2,1,36,2.8%,"Yes
"
746,SPEG,1,1,36,2.8%,"No
"
747,UGT2B17,1,1,36,2.8%,"No
"
748,UGT2B15,1,1,36,2.8%,"No
"
749,LRRC71,1,1,36,2.8%,"No
"
750,TIGIT,1,1,36,2.8%,"No
"
751,MARCHF6,2,1,36,2.8%,"No
"
752,ACO2,1,1,36,2.8%,"No
"
753,SLC32A1,1,1,36,2.8%,"No
"
754,HHLA2,1,1,36,2.8%,"No
"
755,GRIN2A,1,1,36,2.8%,"Yes
"
756,GRIK5,1,1,36,2.8%,"No
"
757,PF4V1,1,1,36,2.8%,"No
"
758,BRD2,1,1,36,2.8%,"No
"
759,DRGX,1,1,36,2.8%,"No
"
760,SASS6,1,1,36,2.8%,"No
"
761,ATP6V1G1,1,1,36,2.8%,"No
"
762,ATG2A,1,1,36,2.8%,"No
"
763,LRRCC1,1,1,36,2.8%,"No
"
764,PGBD2,1,1,36,2.8%,"No
"
765,GRM5,1,1,36,2.8%,"No
"
766,DOCK7,1,1,36,2.8%,"No
"
767,GRM3,1,1,36,2.8%,"Yes
"
768,UROD,1,1,36,2.8%,"No
"
769,ZC3H6,1,1,36,2.8%,"No
"
770,GTF2IRD1,1,1,36,2.8%,"No
"
771,ELP5,1,1,36,2.8%,"No
"
772,IFNL3,1,1,36,2.8%,"No
"
773,MRPS27,1,1,36,2.8%,"No
"
774,CTCFL,1,1,36,2.8%,"No
"
775,ABI3,1,1,36,2.8%,"No
"
776,SYDE2,1,1,36,2.8%,"No
"
777,GFM1,1,1,36,2.8%,"No
"
778,ACTC1,1,1,36,2.8%,"No
"
779,UBE4B,1,1,36,2.8%,"No
"
780,IGLV3-1,1,1,36,2.8%,"No
"
781,CDC42BPB,1,1,36,2.8%,"No
"
782,DNAAF10,2,1,36,2.8%,"No
"
783,ZNRF3,1,1,36,2.8%,"Yes
"
784,USP9X,2,2,36,5.6%,"No
"
785,DGKB,1,1,36,2.8%,"No
"
786,DGKA,1,1,36,2.8%,"No
"
787,ANGEL2,1,1,36,2.8%,"No
"
788,TBC1D8,1,1,36,2.8%,"No
"
789,CADM4,1,1,36,2.8%,"No
"
790,SLC6A18,1,1,36,2.8%,"No
"
791,PXDNL,1,1,36,2.8%,"No
"
792,EFCAB5,1,1,36,2.8%,"No
"
793,TDRD9,1,1,36,2.8%,"No
"
794,DAPK1,2,2,36,5.6%,"No
"
795,FBXO5,1,1,36,2.8%,"No
"
796,ZNF721,1,1,36,2.8%,"No
"
797,VPS33B,1,1,36,2.8%,"No
"
798,ATXN7L3B,2,1,36,2.8%,"No
"
799,AFF4,1,1,36,2.8%,"Yes
"
800,WEE2,1,1,36,2.8%,"No
"
801,CYP2S1,1,1,36,2.8%,"No
"
802,CCDC96,1,1,36,2.8%,"No
"
803,ACVR2A,1,1,36,2.8%,"Yes
"
804,DAZL,1,1,36,2.8%,"No
"
805,DAXX,1,1,36,2.8%,"Yes
"
806,FBXO6,1,1,36,2.8%,"No
"
807,TBCCD1,1,1,36,2.8%,"No
"
