,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
3316,TNS2,4,3,514,0.6%,"No
"
3317,CRTC1,1,1,514,0.2%,"Yes
"
3318,BDP1,4,2,514,0.4%,"No
"
3319,UTP6,3,3,514,0.6%,"No
"
3320,SCAMP3,1,1,514,0.2%,"No
"
3321,ADCY10,7,3,514,0.6%,"No
"
3322,KDM3A,3,1,514,0.2%,"No
"
3323,RWDD2B,2,1,514,0.2%,"No
"
3324,TSNAXIP1,3,3,514,0.6%,"No
"
3325,ACSM3,1,1,514,0.2%,"No
"
3326,SAG,2,2,514,0.4%,"No
"
3327,SALL2,1,1,514,0.2%,"No
"
3328,RNF130,3,3,514,0.6%,"No
"
3329,SALL1,1,1,514,0.2%,"No
"
3330,MCM9,2,2,514,0.4%,"No
"
3331,ESYT1,4,1,514,0.2%,"No
"
3332,SYNE1,26,12,514,2.3%,"No
"
3333,SAA4,1,1,514,0.2%,"No
"
3334,SMCHD1,4,2,514,0.4%,"No
"
3335,DOCK9,4,2,514,0.4%,"No
"
3336,VPS52,1,1,514,0.2%,"No
"
3337,PHF24,1,1,514,0.2%,"No
"
3338,ALLC,2,1,514,0.2%,"No
"
3339,MUC17,23,16,514,3.1%,"No
"
3340,DNAJC16,1,1,514,0.2%,"No
"
3341,PECR,1,1,514,0.2%,"No
"
3342,ASB11,1,1,514,0.2%,"No
"
3343,PAG1,1,1,514,0.2%,"Yes
"
3344,VPS11,3,2,514,0.4%,"No
"
3345,ASB5,1,1,514,0.2%,"No
"
3346,ASB6,2,2,514,0.4%,"No
"
3347,CHAF1A,2,1,514,0.2%,"No
"
3348,PARP3,2,2,514,0.4%,"Yes
"
3349,PARP2,2,2,514,0.4%,"Yes
"
3350,TOM1L1,2,2,514,0.4%,"No
"
3351,HMGXB4,1,1,514,0.2%,"No
"
3352,SUN1,1,1,514,0.2%,"No
"
3353,HAUS5,3,2,514,0.4%,"No
"
3354,VPS8,1,1,514,0.2%,"No
"
3355,PRELID2,1,1,514,0.2%,"No
"
3356,SH3RF2,2,2,514,0.4%,"No
"
3357,ANGEL1,1,1,514,0.2%,"No
"
3358,USP24,5,5,514,1.0%,"No
"
3359,PIKFYVE,5,5,514,1.0%,"No
"
3360,ASB7,1,1,514,0.2%,"No
"
3361,ASB9,3,3,514,0.6%,"No
"
3362,CAND1,4,2,514,0.4%,"No
"
3363,U2SURP,1,1,514,0.2%,"No
"
3364,KHNYN,2,2,514,0.4%,"No
"
3365,UBR4,11,6,514,1.2%,"No
"
3366,SH2D3C,2,2,514,0.4%,"No
"
3367,DHX29,4,4,514,0.8%,"No
"
3368,TOM1,1,1,514,0.2%,"No
"
3369,CPVL,2,2,514,0.4%,"No
"
3370,CENPJ,6,4,514,0.8%,"No
"
