,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
5090,PLD5,1,1,490,0.2%,"No
"
5091,ROPN1B,1,1,490,0.2%,"No
"
5092,DDR2,1,1,490,0.2%,"Yes
"
5093,CHST11,1,1,490,0.2%,"No
"
5094,C2CD3,3,3,490,0.6%,"No
"
5095,NLRC4,3,3,490,0.6%,"No
"
5096,ARL5B,1,1,490,0.2%,"No
"
5097,UBE2S,1,1,490,0.2%,"No
"
5098,FSCN3,1,1,490,0.2%,"No
"
5099,SLC44A2,1,1,490,0.2%,"No
"
5100,NSUN6,1,1,490,0.2%,"No
"
5101,LYZL6,1,1,490,0.2%,"No
"
5102,BCAN,1,1,490,0.2%,"No
"
5103,IL16,3,3,490,0.6%,"No
"
5104,RPS6KA6,1,1,490,0.2%,"No
"
5105,IL15RA,1,1,490,0.2%,"No
"
5106,OAS2,1,1,490,0.2%,"No
"
5107,GOLIM4,1,1,490,0.2%,"No
"
5108,TMEM63C,1,1,490,0.2%,"No
"
5109,CD163L1,1,1,490,0.2%,"No
"
5110,CREBZF,1,1,490,0.2%,"No
"
5111,JPH2,1,1,490,0.2%,"No
"
5112,SPAG17,1,1,490,0.2%,"No
"
5113,OTOGL,2,2,490,0.4%,"No
"
5114,CFAP251,1,1,490,0.2%,"No
"
5115,GPR149,1,1,490,0.2%,"No
"
5116,FOXK2,2,2,490,0.4%,"No
"
5117,AADACL2,1,1,490,0.2%,"No
"
5118,SLITRK4,1,1,490,0.2%,"No
"
5119,PAXBP1,1,1,490,0.2%,"No
"
5120,TMEM203,1,1,490,0.2%,"No
"
5121,MOCS3,1,1,490,0.2%,"No
"
5122,TRIM6-TRIM34,2,2,490,0.4%,"No
"
5123,PRICKLE4,1,1,490,0.2%,"No
"
5124,PSAT1,1,1,490,0.2%,"No
"
5125,PELI1,1,1,490,0.2%,"No
"
5126,ANKRD30A,2,2,490,0.4%,"No
"
5127,IMPDH2,2,2,490,0.4%,"No
"
5128,ZNF544,1,1,490,0.2%,"No
"
5129,ZNF462,1,1,490,0.2%,"No
"
5130,MRM2,1,1,490,0.2%,"No
"
5131,QSOX2,2,2,490,0.4%,"No
"
5132,OAS3,3,3,490,0.6%,"No
"
5133,STOML2,1,1,490,0.2%,"No
"
5134,RAB33B,1,1,490,0.2%,"No
"
5135,IMPG1,1,1,490,0.2%,"No
"
5136,CLEC4G,1,1,490,0.2%,"No
"
5137,TRAV36DV7,1,1,490,0.2%,"No
"
5138,UBQLN2,4,4,490,0.8%,"No
"
5139,TRAV35,1,1,490,0.2%,"No
"
5140,INHBC,1,1,490,0.2%,"No
"
5141,CRTC2,1,1,490,0.2%,"No
"
5142,A1CF,1,1,490,0.2%,"No
"
5143,ZMIZ1,2,2,490,0.4%,"No
"
5144,ZNF607,1,1,490,0.2%,"No
"
5145,ING1,1,1,490,0.2%,"No
"
5146,IDO1,1,1,490,0.2%,"No
"
5147,CDKAL1,1,1,490,0.2%,"No
"
5148,ADPGK,1,1,490,0.2%,"No
"
5149,OCRL,2,1,490,0.2%,"No
"
5150,CYP2W1,1,1,490,0.2%,"No
"
5151,NSD3,2,2,490,0.4%,"Yes
"
5152,MKS1,1,1,490,0.2%,No
