,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
3208,TUBA1B,1,1,200,0.5%,"No
"
3209,IL17RD,1,1,200,0.5%,"No
"
3210,USP45,1,1,200,0.5%,"No
"
3211,CA1,1,1,200,0.5%,"No
"
3212,OR2Y1,2,2,200,1.0%,"No
"
3213,IRF9,1,1,200,0.5%,"No
"
3214,LINGO2,1,1,200,0.5%,"No
"
3215,TUBB3,1,1,200,0.5%,"No
"
3216,TTLL8,1,1,200,0.5%,"No
"
3217,TUBB4A,1,1,200,0.5%,"No
"
3218,EPHA7,1,1,200,0.5%,"Yes
"
3219,IARS1,1,1,200,0.5%,"No
"
3220,EPHA4,2,2,200,1.0%,"No
"
3221,EPHA3,1,1,200,0.5%,"Yes
"
3222,TNC,5,4,200,2.0%,"No
"
3223,MAP7D2,4,3,200,1.5%,"No
"
3224,EPB42,1,1,200,0.5%,"No
"
3225,EPB41L2,1,1,200,0.5%,"No
"
3226,EPB41L1,2,2,200,1.0%,"No
"
3227,EPB41,2,2,200,1.0%,"No
"
3228,GRAMD1C,2,2,200,1.0%,"No
"
3229,BTN2A2,1,1,200,0.5%,"No
"
3230,CA9,2,2,200,1.0%,"No
"
3231,HYDIN,1,1,200,0.5%,"No
"
3232,BTG4,1,1,200,0.5%,"No
"
3233,SCML2,2,2,200,1.0%,"No
"
3234,SYCP2,1,1,200,0.5%,"No
"
3235,MTFR2,5,5,200,2.5%,"No
"
3236,ABCA9,1,1,200,0.5%,"No
"
3237,ICAM3,1,1,200,0.5%,"No
"
3238,UBBP4,1,1,200,0.5%,"No
"
3239,CACNA1A,1,1,200,0.5%,"No
"
3240,CACNA1B,3,3,200,1.5%,"No
"
3241,PPP1R12C,1,1,200,0.5%,"No
"
3242,CACNA1C,2,2,200,1.0%,"No
"
3243,EPHB2,1,1,200,0.5%,"No
"
3244,EPHB1,1,1,200,0.5%,"Yes
"
3245,CACNA1E,3,3,200,1.5%,"No
"
3246,EPHA8,1,1,200,0.5%,"No
"
3247,CACNA1F,1,1,200,0.5%,"No
"
3248,WARS2,1,1,200,0.5%,"No
"
3249,ACY3,1,1,200,0.5%,"No
"
3250,CACNA1S,1,1,200,0.5%,"No
"
3251,ZNF180,1,1,200,0.5%,"No
"
3252,RNF111,2,2,200,1.0%,"No
"
3253,SELPLG,1,1,200,0.5%,"No
"
3254,SEMG2,1,1,200,0.5%,"No
"
3255,ERICH6,2,2,200,1.0%,"No
"
3256,NPM2,1,1,200,0.5%,"No
"
3257,ERCC1,1,1,200,0.5%,"No
"
3258,NPFFR1,1,1,200,0.5%,"No
"
3259,ERBB4,1,1,200,0.5%,"Yes
"
3260,CENPK,2,2,200,1.0%,"No
"
3261,ERBB3,2,2,200,1.0%,"Yes
"
3262,ERBB2,1,1,200,0.5%,"Yes
"
3263,SLAIN1,2,2,200,1.0%,"No
"
3264,SH3BP4,1,1,200,0.5%,"No
"
3265,STIMATE-MUSTN1,1,1,200,0.5%,"No
"
3266,CACNB2,3,2,200,1.0%,"No
"
3267,CACNG1,1,1,200,0.5%,"No
"
3268,EPS8,1,1,200,0.5%,"No
"
3269,EPRS1,2,2,200,1.0%,"No
"
3270,CEMIP2,2,2,200,1.0%,"No
"
3271,ZNF429,2,2,200,1.0%,"No
"
3272,EPOR,1,1,200,0.5%,"Yes
"
3273,TAF1L,1,1,200,0.5%,"No
"
3274,ASXL1,7,7,200,3.5%,"Yes
"
3275,CACNG2,1,1,200,0.5%,"No
"
3276,EYA4,1,1,200,0.5%,"No
"
3277,ARFIP2,1,1,200,0.5%,"No
"
3278,ZNF214,1,1,200,0.5%,"No
"
3279,POLA2,1,1,200,0.5%,"No
"
3280,ZNF213,1,1,200,0.5%,"No
"
3281,SRSF6,1,1,200,0.5%,"No
"
3282,TRA2B,1,1,200,0.5%,"No
"
3283,TMBIM1,1,1,200,0.5%,"No
"
3284,ERCC6,2,2,200,1.0%,"No
"
3285,LY96,1,1,200,0.5%,"No
"
3286,TET2,27,17,200,8.5%,"Yes
"
3287,ATP5MF-PTCD1,1,1,200,0.5%,"No
"
3288,EDC4,4,3,200,1.5%,"No
"
3289,CAD,1,1,200,0.5%,"Yes
"
3290,CCDC181,2,2,200,1.0%,"No
"
3291,SLAMF7,1,1,200,0.5%,"No
"
3292,DCHS2,2,2,200,1.0%,"No
"
3293,CALCB,1,1,200,0.5%,"No
"
3294,BNC2,1,1,200,0.5%,"No
"
3295,CALCR,1,1,200,0.5%,"No
"
3296,TRPM4,2,2,200,1.0%,"No
"
3297,SFRP4,1,1,200,0.5%,"Yes
"
3298,ZNF205,1,1,200,0.5%,"No
"
3299,SOGA1,1,1,200,0.5%,"No
"
3300,SRSF2,3,3,200,1.5%,"Yes
"
3301,RAET1G,1,1,200,0.5%,"No
"
3302,PLA2G15,1,1,200,0.5%,"No
"
3303,HTR3E,1,1,200,0.5%,"No
"
3304,ZNF229,2,2,200,1.0%,"No
"
3305,ADGRL4,3,2,200,1.0%,"No
"
3306,ZNF236,2,2,200,1.0%,"No
"
3307,ZNF550,1,1,200,0.5%,"No
"
3308,ABCA10,3,3,200,1.5%,"No
"
3309,CYP4F11,1,1,200,0.5%,"No
"
3310,PCK2,1,1,200,0.5%,"No
"
3311,ZNF225,1,1,200,0.5%,"No
"
3312,PCM1,1,1,200,0.5%,"Yes
"
3313,ABCA7,1,1,200,0.5%,"No
"
3314,TRIM22,1,1,200,0.5%,"No
"
3315,SLC30A3,1,1,200,0.5%,"No
"
3316,FAM89B,1,1,200,0.5%,"No
"
3317,XYLT1,1,1,200,0.5%,"No
"
3318,SH3BP2,1,1,200,0.5%,"No
"
3319,ITSN1,2,2,200,1.0%,"No
"
3320,ABCG4,1,1,200,0.5%,"No
"
3321,NTSR2,1,1,200,0.5%,"No
"
3322,BACE1,1,1,200,0.5%,"No
"
3323,CCBE1,1,1,200,0.5%,"No
"
3324,CBLC,1,1,200,0.5%,"Yes
"
3325,B3GALT5,1,1,200,0.5%,"No
"
3326,PCNT,2,2,200,1.0%,"No
"
