,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
7604,IFI44L,1,1,402,0.2%,"No
"
7605,NOL8,2,2,402,0.5%,"No
"
7606,MOCOS,1,1,402,0.2%,"No
"
7607,HLA-B,1,1,402,0.2%,"Yes
"
7608,RAB40B,1,1,402,0.2%,"No
"
7609,GRXCR1,1,1,402,0.2%,"No
"
7610,EBNA1BP2,2,2,402,0.5%,"No
"
7611,USP37,3,3,402,0.7%,"No
"
7612,ZBTB48,2,2,402,0.5%,"No
"
7613,TRMT12,1,1,402,0.2%,"No
"
7614,DDX55,2,2,402,0.5%,"No
"
7615,FANCM,1,1,402,0.2%,"No
"
7616,OR4P4,1,1,402,0.2%,"No
"
7617,PTCD3,4,4,402,1.0%,"No
"
7618,SHTN1,2,2,402,0.5%,"No
"
7619,MSH2,1,1,402,0.2%,"Yes
"
7620,MSH3,1,1,402,0.2%,"Yes
"
7621,QSOX1,1,1,402,0.2%,"No
"
7622,MSH4,4,4,402,1.0%,"No
"
7623,LMAN2,1,1,402,0.2%,"No
"
7624,PTPN9,1,1,402,0.2%,"No
"
7625,PTPN11,2,2,402,0.5%,"Yes
"
7626,PTPN12,2,2,402,0.5%,"No
"
7627,PTPN13,7,7,402,1.7%,"Yes
"
7628,DDX31,2,2,402,0.5%,"No
"
7629,PTPN14,2,2,402,0.5%,"No
"
7630,KRT26,1,1,402,0.2%,"No
"
7631,HLA-DRA,1,1,402,0.2%,"No
"
7632,DEPTOR,1,1,402,0.2%,"No
"
7633,HLA-DPA1,2,2,402,0.5%,"No
"
7634,PTPN4,3,3,402,0.7%,"No
"
7635,PTPN6,1,1,402,0.2%,"Yes
"
7636,PTPN7,1,1,402,0.2%,"No
"
7637,PTPRCAP,1,1,402,0.2%,"No
"
7638,PTPRF,1,1,402,0.2%,"No
"
7639,PTPRG,1,1,402,0.2%,"No
"
7640,PTPRH,4,4,402,1.0%,"No
"
7641,PTPRJ,5,5,402,1.2%,"No
"
7642,PTPRK,2,1,402,0.2%,"Yes
"
7643,IZUMO1R,1,1,402,0.2%,"No
"
7644,KDM4E,1,1,402,0.2%,"No
"
7645,HLF,2,2,402,0.5%,"Yes
"
7646,SPOUT1,1,1,402,0.2%,"No
"
7647,NOP16,1,1,402,0.2%,"No
"
7648,CTDSPL2,1,1,402,0.2%,"No
"
7649,PALM2AKAP2,2,2,402,0.5%,"No
"
7650,NELFCD,3,3,402,0.7%,"No
"
7651,PTPRA,1,1,402,0.2%,"No
"
7652,PTPRB,4,4,402,1.0%,"Yes
"
7653,PTPRC,6,5,402,1.2%,"Yes
"
7654,HMBS,1,1,402,0.2%,"No
"
7655,GPR152,1,1,402,0.2%,"No
"
7656,HLCS,1,1,402,0.2%,"No
"
7657,WIPF2,2,2,402,0.5%,"No
"
7658,LRRC14B,1,1,402,0.2%,"No
"
7659,PTPRM,3,3,402,0.7%,"No
"
7660,PTPRN,2,2,402,0.5%,"No
"
7661,PTPRN2,5,5,402,1.2%,"No
"
7662,MSR1,5,5,402,1.2%,"No
"
7663,MST1,2,2,402,0.5%,"Yes
"
7664,MST1R,1,1,402,0.2%,"Yes
"
7665,HMGCR,1,1,402,0.2%,"No
"
7666,KRT25,1,1,402,0.2%,"No
"
7667,HMGN2,2,2,402,0.5%,"No
"
7668,MSN,3,3,402,0.7%,"Yes
"
7669,ITIH6,2,2,402,0.5%,"No
"
7670,OR8B3,2,2,402,0.5%,"No
"
7671,MT1G,1,1,402,0.2%,"No
"
7672,MT1H,1,1,402,0.2%,"No
"
7673,TDRD6,6,6,402,1.5%,"No
"
7674,HMOX2,1,1,402,0.2%,"No
"
7675,HMOX1,3,3,402,0.7%,"No
"
7676,HMMR,1,1,402,0.2%,"No
"
7677,HMGCS2,2,2,402,0.5%,"No
"
7678,HMGCS1,2,2,402,0.5%,"No
"
7679,MSX2,1,1,402,0.2%,"No
"
7680,LYPD2,1,1,402,0.2%,"No
"
7681,HNRNPA1,1,1,402,0.2%,"No
"
7682,SLC29A2,1,1,402,0.2%,"No
"
7683,HNMT,1,1,402,0.2%,"No
"
7684,ONECUT1,1,1,402,0.2%,"No
"
7685,HNF4G,1,1,402,0.2%,"No
"
7686,HNF4A,1,1,402,0.2%,"No
"
7687,HNRNPA2B1,1,1,402,0.2%,"Yes
"
7688,EML5,4,4,402,1.0%,"No
"
7689,HNRNPH1,3,3,402,0.7%,"No
"
7690,RSPH9,1,1,402,0.2%,"No
"
7691,BSX,1,1,402,0.2%,"No
"
7692,HNRNPD,1,1,402,0.2%,"No
"
7693,HNRNPC,2,2,402,0.5%,"No
"
7694,FNIP2,4,4,402,1.0%,"No
"
7695,USP36,1,1,402,0.2%,"No
"
7696,JCAD,5,5,402,1.2%,"No
"
7697,DIP2B,3,3,402,0.7%,"No
"
7698,SDHAF4,1,1,402,0.2%,"No
"
7699,TRMT9B,2,2,402,0.5%,"No
"
7700,PITPNM2,5,5,402,1.2%,"No
"
7701,B3GAT2,1,1,402,0.2%,"No
"
7702,EYS,6,6,402,1.5%,"No
"
7703,HNRNPU,1,1,402,0.2%,"No
"
7704,HNRNPL,1,1,402,0.2%,"No
"
7705,HNRNPK,3,3,402,0.7%,"No
"
7706,OR6M1,1,1,402,0.2%,"No
"
7707,OR10G4,3,3,402,0.7%,"No
"
7708,OR10G7,8,6,402,1.5%,"No
"
7709,HOXA2,1,1,402,0.2%,"No
"
7710,TMC8,2,2,402,0.5%,"No
"
7711,FAM234B,1,1,402,0.2%,"No
"
7712,RELCH,1,1,402,0.2%,"No
"
7713,RANBP10,2,2,402,0.5%,"No
"
7714,SHROOM3,2,2,402,0.5%,"No
"
7715,ZNF492,2,2,402,0.5%,"No
"
7716,TSHZ3,5,4,402,1.0%,"No
"
7717,VPS18,4,4,402,1.0%,"No
"
7718,DCAF8L2,2,2,402,0.5%,"No
"
7719,SPATA4,1,1,402,0.2%,"No
"
7720,NUCKS1,1,1,402,0.2%,"No
"
7721,PDIA2,1,1,402,0.2%,"No
"
7722,LEMD1,1,1,402,0.2%,"No
"
7723,COPS7B,1,1,402,0.2%,"No
"
7724,OR52I2,2,2,402,0.5%,"No
"
7725,OR51E1,3,3,402,0.7%,"No
"
7726,NOL7,1,1,402,0.2%,"No
"
7727,FAM124A,3,3,402,0.7%,"No
"
7728,UNKL,1,1,402,0.2%,"No
"
7729,PABIR3,1,1,402,0.2%,"No
"
7730,BIN2,3,3,402,0.7%,"No
"
7731,OR51G2,1,1,402,0.2%,"No
"
7732,CRYBG3,1,1,402,0.2%,"No
"
7733,AMOTL2,2,2,402,0.5%,"No
"
7734,FGD2,1,1,402,0.2%,"No
"
7735,EME2,2,2,402,0.5%,"No
"
7736,PRKAG2,3,3,402,0.7%,"No
"
7737,ZNF107,2,2,402,0.5%,"No
"
7738,POLK,2,2,402,0.5%,"No
"
7739,EVC2,1,1,402,0.2%,"No
"
7740,WDR13,1,1,402,0.2%,"No
"
7741,LRRD1,1,1,402,0.2%,"No
"
7742,METTL17,1,1,402,0.2%,"No
"
7743,MFSD1,1,1,402,0.2%,"No
"
7744,SPATA21,1,1,402,0.2%,"No
"
7745,ANAPC5,2,2,402,0.5%,"No
"
7746,SCARA3,1,1,402,0.2%,"No
"
7747,NLRC3,3,2,402,0.5%,"No
"
7748,FAM8A1,1,1,402,0.2%,"No
"
7749,LANCL3,1,1,402,0.2%,"No
"
7750,MIGA1,1,1,402,0.2%,"No
"
7751,SMURF2,1,1,402,0.2%,"No
"
7752,CCDC136,2,2,402,0.5%,"No
"
7753,RUSF1,1,1,402,0.2%,"No
"
7754,TNS3,1,1,402,0.2%,"No
"
7755,YTHDF2,1,1,402,0.2%,"No
"
7756,DOK6,1,1,402,0.2%,"No
"
7757,VGLL1,1,1,402,0.2%,"No
"
7758,ZNF778,2,2,402,0.5%,"No
"
7759,IP6K2,1,1,402,0.2%,"No
"
7760,PCYOX1,1,1,402,0.2%,"No
"
7761,ASIC3,1,1,402,0.2%,"No
"
7762,KCNB2,3,3,402,0.7%,"No
"
7763,FHIP2B,2,2,402,0.5%,"No
"
7764,ZNF235,1,1,402,0.2%,"No
"
7765,NREP,1,1,402,0.2%,"No
"
7766,GAREM1,4,4,402,1.0%,"No
"
7767,ELOA3P,1,1,402,0.2%,"No
"
7768,PARP12,4,3,402,0.7%,"No
"
7769,MMP20,1,1,402,0.2%,"No
"
7770,CREB3L2,2,2,402,0.5%,"Yes
"
7771,ZNF574,1,1,402,0.2%,"No
"
7772,S100PBP,1,1,402,0.2%,"No
"
7773,C6ORF89,1,1,402,0.2%,"No
"
7774,PI16,2,2,402,0.5%,"No
"
7775,PRRX2,1,1,402,0.2%,"No
"
7776,LCMT1,1,1,402,0.2%,"No
"
7777,GULP1,1,1,402,0.2%,"No
"
7778,LRRK2,8,7,402,1.7%,"Yes
"
7779,CD83,1,1,402,0.2%,"No
"
7780,REV1,2,2,402,0.5%,"No
"
7781,SOCS6,1,1,402,0.2%,"No
"
7782,RHCG,1,1,402,0.2%,"No
"
7783,WDR90,2,2,402,0.5%,"Yes
"
7784,TRIP10,1,1,402,0.2%,"No
"
7785,TRIP12,5,5,402,1.2%,"No
"
7786,TRIP11,5,5,402,1.2%,"Yes
"
7787,CCDC14,1,1,402,0.2%,"No
"
7788,PCED1A,1,1,402,0.2%,"No
"
7789,HMGN3,1,1,402,0.2%,"No
"
7790,RMND5B,3,3,402,0.7%,"No
"
7791,FNDC3B,2,2,402,0.5%,"No
"
7792,SFMBT1,3,2,402,0.5%,"No
"
7793,GPR89B,2,2,402,0.5%,"No
"
7794,FTSJ3,2,2,402,0.5%,"No
"
7795,LACC1,2,2,402,0.5%,"No
"
7796,UBE2J1,1,1,402,0.2%,"No
"
7797,GALNT15,2,2,402,0.5%,"No
"
7798,SLC16A10,1,1,402,0.2%,"No
"
7799,TRIP13,1,1,402,0.2%,"Yes
"
7800,COPS2,3,3,402,0.7%,"No
"
7801,TMEM61,1,1,402,0.2%,"No
"
7802,TGM5,7,7,402,1.7%,"No
"
7803,MICAL1,3,3,402,0.7%,"No
"
7804,B4GALT5,1,1,402,0.2%,"No
"
7805,B4GALT6,1,1,402,0.2%,"No
"
7806,AEN,1,1,402,0.2%,"No
"
7807,CD163,1,1,402,0.2%,"No
"
