,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
3253,ZNF619,4,4,566,0.7%,"No
"
3254,ZNF621,6,6,566,1.1%,"No
"
3255,TMEM184A,3,3,566,0.5%,"No
"
3256,KCNE5,3,3,566,0.5%,"No
"
3257,CA14,4,4,566,0.7%,"No
"
3258,KPNA6,4,4,566,0.7%,"No
"
3259,SSBP2,1,1,566,0.2%,"No
"
3260,AKR1A1,2,2,566,0.4%,"No
"
3261,SIRPB1,12,11,566,1.9%,"No
"
3262,RXYLT1,4,4,566,0.7%,"No
"
3263,EMC8,2,2,566,0.4%,"No
"
3264,CRISP3,12,12,566,2.1%,"No
"
3265,IKZF1,16,15,566,2.7%,"Yes
"
3266,SMYD5,6,6,566,1.1%,"No
"
3267,CADM3-AS1,1,1,566,0.2%,"No
"
3268,RRAGB,7,7,566,1.2%,"No
"
3269,KLHL41,7,7,566,1.2%,"No
"
3270,SPINK6,1,1,566,0.2%,"No
"
3271,XIRP2,202,150,566,26.5%,"No
"
3272,LYZL1,8,8,566,1.4%,"No
"
3273,LRRC3B,5,5,566,0.9%,"No
"
3274,KCNK15,3,3,566,0.5%,"No
"
3275,SLC12A8,6,6,566,1.1%,"No
"
3276,SCOC,1,1,566,0.2%,"No
"
3277,MT4,2,2,566,0.4%,"No
"
3278,PIK3AP1,20,20,566,3.5%,"No
"
3279,MAP1LC3A,3,2,566,0.4%,"No
"
3280,FAXC,3,3,566,0.5%,"No
"
3281,PARD6G,1,1,566,0.2%,"No
"
3282,FOXP4,7,7,566,1.2%,"No
"
3283,PCDH11Y,23,19,566,3.4%,"No
"
3284,ZNF526,4,4,566,0.7%,"No
"
3285,NCKAP5,71,64,566,11.3%,"No
"
3286,DENND6A,1,1,566,0.2%,"No
"
3287,PDE12,1,1,566,0.2%,"No
"
3288,ROCK1P1,1,1,566,0.2%,"No
"
3289,DNAH12,6,6,566,1.1%,"No
"
3290,GNPTG,1,1,566,0.2%,"No
"
3291,COL25A1,36,35,566,6.2%,"No
"
3292,SPATA17,12,12,566,2.1%,"No
"
3293,ZNF879,1,1,566,0.2%,"No
"
3294,SF3A1,12,12,566,2.1%,"No
"
3295,SPEG,58,49,566,8.7%,"No
"
3296,TRAIP,9,9,566,1.6%,"No
"
3297,BCKDK,2,2,566,0.4%,"No
"
3298,ARHGAP35,24,22,566,3.9%,"Yes
"
3299,DNAJA2,5,5,566,0.9%,"No
"
3300,TIGIT,7,7,566,1.2%,"No
"
3301,GRIK4,27,25,566,4.4%,"No
"
3302,TGM7,13,12,566,2.1%,"No
"
3303,NR3C1,10,10,566,1.8%,"No
"
