,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
946,DNAJB5,5,5,440,1.1%,"No
"
947,MTO1,15,13,440,3.0%,"No
"
948,PRDX5,3,3,440,0.7%,"No
"
949,TPSG1,13,12,440,2.7%,"No
"
950,GBP4,14,12,440,2.7%,"No
"
951,OR4M1,51,40,440,9.1%,"No
"
952,GBP5,16,14,440,3.2%,"No
"
953,MTERF4,10,10,440,2.3%,"No
"
954,TOE1,7,5,440,1.1%,"No
"
955,PCP2,1,1,440,0.2%,"No
"
956,TBC1D3B,14,12,440,2.7%,"No
"
957,RAB26,6,5,440,1.1%,"No
"
958,CIAO2A,3,3,440,0.7%,"No
"
959,NIPBL,50,44,440,10.0%,"No
"
960,METTL25,9,8,440,1.8%,"No
"
961,COG4,23,19,440,4.3%,"No
"
962,SETD3,13,11,440,2.5%,"Yes
"
963,HECTD1,44,37,440,8.4%,"No
"
964,SULT4A1,17,15,440,3.4%,"No
"
965,POU2F3,18,16,440,3.6%,"No
"
966,NBPF14,1,1,440,0.2%,"No
"
967,MGAT4C,40,35,440,8.0%,"No
"
968,FCRL1,38,36,440,8.2%,"No
"
969,FCRL3,53,42,440,9.5%,"No
"
970,LRRC42,6,6,440,1.4%,"No
"
971,TBC1D3C,3,2,440,0.5%,"No
"
972,POMK,15,13,440,3.0%,"No
"
973,USP48,12,12,440,2.7%,"No
"
974,LSM4,4,4,440,0.9%,"No
"
975,SPDEF,8,8,440,1.8%,"No
"
976,VAX2,7,6,440,1.4%,"No
"
977,BAMBI,2,2,440,0.5%,"No
"
978,RHBDD3,7,7,440,1.6%,"No
"
979,C20ORF141,4,4,440,0.9%,"No
"
980,TMEM17,2,2,440,0.5%,"No
"
981,TTLL1,6,6,440,1.4%,"No
"
982,SLC39A6,9,9,440,2.0%,"No
"
983,LMOD1,20,18,440,4.1%,"No
"
984,GCA,3,3,440,0.7%,"No
"
985,LINC02903,11,11,440,2.5%,"No
"
986,LIPJ,11,11,440,2.5%,"No
"
987,SIRPD,14,12,440,2.7%,"No
"
988,ATXN10,10,8,440,1.8%,"No
"
989,TAFA5,3,3,440,0.7%,"No
"
990,TNFAIP8,2,2,440,0.5%,"No
"
991,NOCT,2,2,440,0.5%,"No
"
992,KLK5,23,19,440,4.3%,"No
"
993,CCDC148,21,19,440,4.3%,"No
"
994,NPIPB15,10,10,440,2.3%,"No
"
995,SPRED2,10,10,440,2.3%,"No
"
996,NPIPB4,8,8,440,1.8%,"No
"
997,SAMM50,4,4,440,0.9%,"No
"
998,NPIPB7,2,2,440,0.5%,"No
"
999,GPR146,1,1,440,0.2%,"No
"
1000,TBC1D20,10,9,440,2.0%,"No
"
1001,WDR6,42,40,440,9.1%,"No
"
1002,KCTD7,11,10,440,2.3%,"No
"
1003,SLC2A6,10,10,440,2.3%,"No
"
1004,TREH,6,6,440,1.4%,"No
"
1005,MAP4K1,27,24,440,5.5%,"No
"
1006,MAP4K5,25,21,440,4.8%,"No
"
1007,RASSF1,6,6,440,1.4%,"No
"
1008,INMT,22,21,440,4.8%,"No
"
1009,STAB1,106,83,440,18.9%,"No
"
1010,EFR3A,22,22,440,5.0%,"No
"
1011,RTF1,11,10,440,2.3%,"No
"
1012,SLC35D1,2,2,440,0.5%,"No
"
1013,RBM46,40,34,440,7.7%,"No
"
1014,OR2A25,42,35,440,8.0%,"No
"
1015,CRPPA,14,12,440,2.7%,"No
"
1016,CLEC4F,22,18,440,4.1%,"No
"
1017,NKD2,13,13,440,3.0%,"No
"
1018,TPRG1L,7,7,440,1.6%,"No
"
1019,SAMD8,8,8,440,1.8%,"No
"
1020,WDR43,12,12,440,2.7%,"No
"
1021,ZIC5,6,6,440,1.4%,"No
"
1022,SNX13,24,23,440,5.2%,"No
"
1023,CCNB3,57,52,440,11.8%,"Yes
"
