,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
2943,C12ORF71,1,1,494,0.2%,"No
"
2944,ZNF33A,2,2,494,0.4%,"No
"
2945,SRGAP2,1,1,494,0.2%,"No
"
2946,SMG5,1,1,494,0.2%,"No
"
2947,TECRL,1,1,494,0.2%,"No
"
2948,AHCYL2,2,2,494,0.4%,"No
"
2949,HEPACAM2,1,1,494,0.2%,"No
"
2950,MAU2,1,1,494,0.2%,"No
"
2951,SPECC1L,2,2,494,0.4%,"No
"
2952,NCSTN,2,2,494,0.4%,"Yes
"
2953,CLIP1,2,2,494,0.4%,"Yes
"
2954,RSC1A1,1,1,494,0.2%,"No
"
2955,PTPRU,5,5,494,1.0%,"No
"
2956,ATP9A,5,4,494,0.8%,"No
"
2957,HPS3,2,2,494,0.4%,"No
"
2958,RYR3,16,11,494,2.2%,"No
"
2959,ZNF43,2,2,494,0.4%,"No
"
2960,RYR2,19,18,494,3.6%,"No
"
2961,ZNF45,1,1,494,0.2%,"No
"
2962,GPC6,1,1,494,0.2%,"No
"
2963,CDKL4,1,1,494,0.2%,"No
"
2964,ANKRD23,1,1,494,0.2%,"No
"
2965,USH1C,3,1,494,0.2%,"No
"
2966,EDIL3,2,2,494,0.4%,"No
"
2967,NCAPH,1,1,494,0.2%,"No
"
2968,NTN5,2,2,494,0.4%,"No
"
2969,PPWD1,1,1,494,0.2%,"No
"
2970,NBPF8,1,1,494,0.2%,"No
"
2971,RYR1,18,15,494,3.0%,"No
"
2972,ZNF41,1,1,494,0.2%,"No
"
2973,ECPAS,1,1,494,0.2%,"No
"
2974,ZDHHC24,1,1,494,0.2%,"No
"
2975,AKT1S1,1,1,494,0.2%,"No
"
2976,LMOD2,2,2,494,0.4%,"No
"
2977,ADNP,1,1,494,0.2%,"No
"
2978,LARS2,2,2,494,0.4%,"No
"
2979,PIP5K1C,3,3,494,0.6%,"No
"
2980,RYK,3,2,494,0.4%,"No
"
2981,CERT1,2,2,494,0.4%,"No
"
2982,ZNF827,5,5,494,1.0%,"No
"
2983,CARNMT1,1,1,494,0.2%,"No
"
2984,S100A3,1,1,494,0.2%,"No
"
2985,AP1M2,2,2,494,0.4%,"No
"
2986,S100A8,1,1,494,0.2%,"No
"
2987,ARHGEF12,1,1,494,0.2%,"Yes
"
2988,MATCAP2,1,1,494,0.2%,"No
"
2989,LARP1,3,2,494,0.4%,"No
"
2990,PPP1R13B,3,2,494,0.4%,"No
"
2991,PUM2,3,3,494,0.6%,"No
"
2992,SORT1,1,1,494,0.2%,"No
"
2993,ZNF629,2,2,494,0.4%,"No
"
2994,PSD3,1,1,494,0.2%,"No
"
2995,RNF113B,1,1,494,0.2%,"No
"
2996,OBSL1,1,1,494,0.2%,"No
"
2997,ARFGAP2,2,2,494,0.4%,"No
"
2998,UBA2,1,1,494,0.2%,"No
"
2999,ABCC5,4,4,494,0.8%,"No
"
3000,FARSB,2,2,494,0.4%,"No
"
3001,SCN3B,1,1,494,0.2%,"No
"
3002,DNM1L,4,4,494,0.8%,"No
"
3003,ABCB6,1,1,494,0.2%,"No
"
3004,HR,3,1,494,0.2%,"No
"
3005,ABCC9,2,2,494,0.4%,"No
"
3006,TRERF1,1,1,494,0.2%,"No
"
3007,ST6GALNAC1,1,1,494,0.2%,"No
"
3008,SAA2,1,1,494,0.2%,"No
"
3009,NR1H3,3,3,494,0.6%,"No
"
3010,UFL1,4,4,494,0.8%,"No
"
3011,GARIN3,4,4,494,0.8%,"No
"
3012,DNAJB8,3,3,494,0.6%,"No
"
3013,APLF,1,1,494,0.2%,"No
"
3014,ICE1,2,2,494,0.4%,"No
"
